Gemeinde_Name;E;N;Name;Transportunternehmen_Abkuerzung;Betriebspunkttyp_Bezeichnung;Verkehrsmittel_Bezeichnung;Hšhe
Flawil;2731262;1253488;Flawil, Luegisland;PAG;Haltestelle;Bus;648
Rheinwald;2743296;1154272;Tamboalp;BST;Haltestelle;Sesselbahn;2009
Lugano;2719943;1101724;Sonvico, Scuole;ARL;Haltestelle;Bus;589
Sierre;2601820;1123583;Granges VS, Grand Canal;ASGS;Haltestelle;Bus;505
Kappel am Albis;2680195;1230809;Uerzlikon, Dorf;PAG;Haltestelle;Bus;512
Oensingen;2620923;1237694;Oensingen, Post;PAG;Haltestelle;Bus;463
Davos;2783027;1182266;Clavadeler Alp (Jatzhorn);DKB;Haltestelle;Sesselbahn;2090
Basel;2611724;1268912;Basel, Brombacherstrasse;BVB;Haltestelle;Bus / Tram;255
Hemishofen;2704572;1281755;Hemishofen, Dorf;SBG;Haltestelle;Bus;420
Thônex;2504450;1116508;Thônex, Graveson;TPG;Haltestelle;Bus / Tram;421
Villigen;2659736;1262946;Stilli, Aarebrücke;PAG;Haltestelle;Bus;346
Schiers;2773103;1202375;Lunden, ufm Tobel;PAG;Haltestelle;Bus;770
La Brillaz;2567272;1179092;Lentigny, La Chapelle;TPF;Haltestelle;Bus;735
Grenchen;2597778;1226252;Grenchen, Brüel;BGU;Haltestelle;Bus;434
Brienz (BE);2645866;1178359;Brienz;zb;Haltestelle;Zug;566
Altnau;2737356;1276121;Altnau;SBB CFF FFS;Haltestelle;Zug;409
Domat/Ems;2750643;1187772;Reichenau-Tamins, Bahnhof;PAG;Haltestelle;Bus;604
Raron;2629566;1129050;St. German, Dorfplatz;PAG;Haltestelle;Bus;740
Lausanne;2542833;1156009;Lausanne, Molliettes;TL;Haltestelle;Bus;832
Airolo;2690977;1151473;Ravina;VBSA;Haltestelle;Sesselbahn;1748
St. Gallen;2747328;1255143;St. Gallen, St. Fiden Zentrum;VBSG;Haltestelle;Bus;671
Lutry;2543380;1152174;Lutry, Echerins;TL;Haltestelle;Bus;639
Davos;2780571;1189586;Weissfluhjoch;DKB;Haltestelle;Standseilbahn / Kabinenbahn / Sesselbahn;2662
Thun;2613505;1178056;Thun, Schönau;STI;Haltestelle;Bus;562
Trient;2565352;1101258;Trient, camping;PAG;Haltestelle;Bus;1259
S-chanf;2795301;1165778;S-chanf, Pradels;BuS;Haltestelle;Bus;1664
Lausanne;2538520;1152320;Lausanne, Benj. Constant;TL;Haltestelle;Bus;500
Häfelfingen;2632641;1250626;Häfelfingen, Bad Ramsach;BLT;Haltestelle;Bus;739
Vionnaz;2557793;1128531;Torgon, Bonne-Année;PAG;Haltestelle;Bus;665
Alto Malcantone;2711484;1098892;Breno, Ponte di Vello;PAG;Haltestelle;Bus;637
Hauterive (NE);2564913;1206907;Hauterive NE, Rouges-Terres;TRN;Haltestelle;Bus;435
Wohlen (AG);2663869;1244082;Wohlen AG, Schulen Junkholz;PAG;Haltestelle;Bus;423
Genève;2500819;1116627;Genève-Champel, gare/Peschier;TPG;Haltestelle;Bus;407
Kaisten;2645626;1265090;Kaisten, Eigenmatt;PAG;Haltestelle;Bus;340
Altendorf;2704528;1227845;Altendorf, Talstrasse;PAG;Haltestelle;Bus;410
Escholzmatt-Marbach;2637527;1195287;Escholzmatt, Riedgasse;PAG;Haltestelle;Bus;833
Silvaplana;2782031;1144503;Curtinella;LSC;Haltestelle;Sesselbahn;2550
Ausserberg;2631915;1128986;Ausserberg, Brandenhütten;PAG;Haltestelle;Bus;844
Lauterbrunnen;2634553;1157320;Allmiboden;LSMS;Haltestelle;Sesselbahn;1804
Bottighofen;2733338;1278180;Bottighofen;SBB CFF FFS;Haltestelle;Zug;405
Faido;2705883;1151118;Brusada;NCIT;Haltestelle;Sesselbahn;1948
Zürich;2681990;1247299;Zürich Wiedikon, Bahnhof;VBZ;Haltestelle;Bus / Tram;405
Villeneuve (VD);2560895;1139504;Villeneuve VD, Clos du Moulin;VMCV;Haltestelle;Bus;381
Neuchâtel;2557509;1203868;Corcelles NE, Pharmacie;TRN;Haltestelle;Bus;547
Härkingen;2628436;1240536;Härkingen, Lischmatte;BOGG;Haltestelle;Bus;431
Rüschegg;2597269;1182663;Rüschegg Graben, Kreuzung;PAG;Haltestelle;Bus;743
Aarau;2644938;1248513;Aarau, Dammweg;BBA;Haltestelle;Bus;368
Vernier;2497453;1118044;Vernier, Avenue de l'Ain;TPG;Haltestelle;Bus;423
Berg (TG);2731274;1271441;Kehlhof Nord;SBB CFF FFS;Verzweigung, Abzweigung, Spaltweiche;;549
Haute-Sorne;2582669;1242878;Glovelier Ouest;CJ;Dienststation;;504
Röthenbach im Emmental;2623589;1189770;Röthenbach i.E., Feldmatt;BLAG;Haltestelle;Bus;812
Gambarogno;2703828;1108553;Gerra (Gambarogno), Bagno;PAG;Haltestelle;Bus;207
Le Locle;2547300;1211702;Le Locle, Avenir;TRN;Haltestelle;Bus;920
Thun;2615208;1177323;Schadau;BLSSF;Haltestelle;Schiff;560
Ingenbohl;2686676;1206139;Brunnen, Fallenbach;AAGS;Haltestelle;Bus;455
Heimberg;2612932;1181169;Heimberg, Lädeli;STI;Haltestelle;Bus;551
Tägerwilen;2726894;1279860;Tägerwilen, Hertler;PAG;Haltestelle;Bus;419
Ferden;2623710;1136444;Goppenstein Lötschberg (Spw);BLS;Spurwechsel;;1220
Fully;2575604;1110122;Fully, Verdan;PAG;Haltestelle;Bus;461
Flums;2741156;1217128;Flumserberg, Mittenwald;PAG;Haltestelle;Bus;1262
Collombey-Muraz;2560472;1129755;Vionnaz, croisée d'Illarsaz;PAG;Haltestelle;Bus;382
Saint-Gingolph;2554368;1137516;Bouveret, école des Missions;PAG;Haltestelle;Bus;384
Risch;2675237;1221674;Rotkreuz;SBB CFF FFS;Haltestelle und Bedienpunkt;Zug;429
Kreuzlingen;2729591;1278887;Kreuzlingen, Rebstockplatz;PAG;Haltestelle;Bus;417
Mumpf;2635496;1266428;Mumpf, Bahnhof;PAG;Haltestelle;Bus;304
Jussy;2509169;1121097;Jussy, La Loure;TPG;Haltestelle;Bus;463
Ennetbürgen;2672876;1203559;Ennetbürgen, Herdern;PAG;Haltestelle;Bus;441
Oberrohrdorf;2666269;1252361;Oberrohrdorf, Post;PAG;Haltestelle;Bus;497
Oberiberg;2701344;1210061;Oberiberg (Talstation);BHY;Haltestelle;Sesselbahn;1068
Eichberg;2758175;1247350;Hinterforst, Post;BOS;Haltestelle;Bus;451
Novazzano;2719953;1077490;Novazzano, Marcetto;PAG;Haltestelle;Bus;352
