xtf_id,UID,Nummer,Abkuerzung,Name_oeV,Name_HR,Gueltigkeit_BeginnGueltigkeit,Gueltigkeit_EndeGueltigkeit,Gueltigkeit_BearbeitungsDatum,Gueltigkeit_Stand
ch14uvag00107803,,2641,,Dacic Tours d.o.o.,Dacic Tours d.o.o.,18000101,,20220331,20220508
ch14uvag00166365,,3077,NACCO,NACCO GmbH,NACCO GmbH,18000101,,20220331,20220508
ch14uvag00000578,CHE-106.609.312,823,JVTT,José Vogel Transport Taxi,José Vogel,18000101,,20220331,20220508
ch14uvag00000713,CHE-103.197.767,213,PB,PILATUS-BAHNEN AG,PILATUS-BAHNEN AG,18000101,,20220331,20220508
ch14uvag00166352,,3067,GJW,GJW Praha spol. s.r.o,GJW Praha spol. s.r.o,18000101,,20220331,20220508
ch14uvag00001262,,2558,,Turicôa - Viagens e Turismo Lda,Turicôa - Viagens e Turismo Lda,18000101,,20220331,20220508
ch14uvag00001308,,2604,,Ryszard Wojcik - Privatne Biuro Podrozy Sindbad"",Ryszard Wojcik - Privatne Biuro Podrozy Sindbad"",18000101,,20220331,20220508
ch14uvag00001019,,2104,,Bus Center S.r.l. (alt: Segesta Internazionale S.r.l.),Bus Center S.r.l. (alt: Segesta Internazionale S.r.l.),18000101,,20220331,20220508
ch14uvag00000440,CHE-105.748.394,2961,CVT,"Carlo Vanoli AG, Bauunternehmung, Thalwil","Carlo Vanoli AG, Bauunternehmung, Thalwil",19610203,,20220331,20220508
ch14uvag00000601,CHE-420.947.821,588,LDN,Luftseilbahn Dallenwil-Niederrickenbach,KAPELLSTIFTUNG MARIA RICKENBACH,18000101,,20220331,20220508
ch14uvag00000836,CHE-114.097.302,2970,SRTAG,Swiss Rail Traffic AG,Swiss Rail Traffic AG,20080221,,20220331,20220508
ch14uvag00000981,CHE-107.031.752,2926,WISA,Wagons Industriels SA,Wagons Industriels SA,18000101,,20220331,20220508
ch14uvag00000976,CHE-115.057.601,1907,WETA**,Gemeinde Epsach,Gemeinde Epsach,18000101,,20220331,20220508
ch14uvag00248909,,20126,#AUTAG,Karmon AG,Karmon AG,18000101,,20220331,20220508
ch14uvag00248910,,20621,#LEER,A + C Corbat SA,A + C Corbat SA,18000101,,20220331,20220508
ch14uvag00248911,,20447,#LEER,STISA sviluppo traffici internazionali,STISA sviluppo traffici internazionali,18000101,,20220331,20220508
ch14uvag00107797,,2955,TFG,TFG Transfracht Internationale Gesellschaft für kombinierten Güterverkehr mbH & Co. KG,TFG Transfracht Internationale Gesellschaft für kombinierten Güterverkehr mbH & Co. KG,18000101,,20220331,20220508
ch14uvag00000929,CHE-107.891.855,2899,TWA,TRANSWAGGON AG,TRANSWAGGON AG,18000101,,20220331,20220508
