Gemeinde,coordinatex,coordinatey,name,GMDNAME
Köniz,46.93615,7.416722,SPAR Supermarkt Liebefeld,Köniz
Rossrüti,47.478294,9.068477,SPAR Supermarkt Rossrüti,Braunau
Basel,47.561163,7.569274,SPAR Supermarkt Basel,Basel
Schaffhausen,47.695515,8.640286,SPAR Supermarkt Schweizerhof,Feuerthalen
Baden,47.438542,8.271346,SPAR Supermarkt Baden-Rütihof,Mellingen
Ilanz,46.77407,9.206413,SPAR Supermarkt Ilanz,Ilanz/Glion
Heerbrugg,47.41518,9.63208,SPAR Supermarkt Heerbrugg,Widnau
Triesen,47.11603,9.524065,SPAR Supermarkt Triesen,Sevelen
Biberist,47.186901,7.555211,SPAR Supermarkt Biberist,Biberist
Menznau,47.083984,8.044511,SPAR Supermarkt Menznau,Menznau
Klosters,46.861907,9.892636,SPAR Klosters,Klosters
Schlieren,47.397775,8.431597,SPAR Supermarkt Schlieren,Schlieren
Schaffhausen,0.0,0.0,SPAR Supermarkt SH Stahlgiesserei,Bourg-Saint-Pierre
Kreuzlingen,47.643666,9.170984,SPAR express Kreuzlingen mit TS,Kreuzlingen
Zürich,47.411373,8.526461,SPAR express Zürich Regensbergstrasse,Rümlang
Uznach,47.227534,8.972483,SPAR express Uznach,Uznach
Aran,46.505511,6.709604,SPAR express Lavaux,Bourg-en-Lavaux
Dierikon,47.098141,8.368118,SPAR express Dierikon,Dierikon
Eschenbach,47.109635,8.384073,SPAR express Eschenbach,Root
Augst,47.535138,7.710317,SPAR express AVIA Augst,Augst
Pieterlen,47.169218,7.351711,SPAR express Pieterlen,Meinisberg
Luzern,47.053391,8.339276,SPAR express Luzern Seeburgstrasse,Ebikon
Forel,46.552804,6.777459,SPAR express Forel (Lavaux),Forel (Lavaux)
Altnau,47.617628,9.269131,SPAR express Altnau,Altnau
Winterthur,47.49804,8.747104,SPAR express Winterthur,Winterthur
Adligenswil,47.072061,8.379556,SPAR express AVIA Adligenswil,Adligenswil
Zürich,47.379216,8.559891,SPAR express Zürich Toblerplatz,Zürich
Seuzach,47.526544,8.732894,SPAR express Seuzach,Seuzach
Dietikon,47.406434,8.404505,SPAR express Dietikon Bahnhofplatz,Dietikon
