name,Lat,Long,Ladentyp,GMDNAME
Eglisau,47.5792535,8.5139362,m,Eglisau
Egnach,47.5490761,9.371741,mgls,Salmsach
Egolzwil ,47.1826526,7.9838253,m,Nebikon
Einsiedeln,47.1287061,8.7459076,mm,Einsiedeln
Einsiedeln,47.1279567,8.7441361,mig,Einsiedeln
Elgg,47.4983247,8.8617399,m,Elgg
Embrach,47.5101139,8.5917376,mm,Embrach
Emmen ,47.0898808,8.2738074,m,Rothenburg
Emmen ,47.0737906,8.2930347,mm,Emmen
Emmenbrücke,47.0724171,8.2792234,mgls,Emmen
Emmenbrücke ,47.0779516,8.2752688,mm,Emmen
Engelberg,46.8207122,8.4057173,m,Engelberg
Epalinges,46.5485622,6.6708585,mm,Epalinges
Erde,46.2376096,7.2878921,dmp,Vétroz
Erlenbach ,47.3070068,8.5904643,m,Erlenbach (ZH)
Erlinsbach,47.4053477,8.0084956,m,Erlinsbach (AG)
Erstfeld,46.8251526,8.6500662,m,Erstfeld
Eschenbach,47.2408601,8.92332,m,Eschenbach (SG)
Estavayer,46.847963,6.8513418,mm,Estavayer
Etoy,46.4737122,6.4259736,m,Buchillon
Etoy,46.474662,6.4185074,mgls,Buchillon
Etoy,46.4745693,6.4181966,fm,Buchillon
Etrembières,46.1810413,6.2322629,mmm,Puplinge
Ettingen,47.4844491,7.5468089,mm,Ettingen
Eyholz ,46.2939983,7.9069943,spez,Lalden
Balzers,47.0752919,9.5121868,dmp,Wartau
Ruggell,47.2403159,9.5235234,dmp,Sennwald
Fahrwangen,47.2942089,8.2432889,m,Fahrwangen
Faido,46.4780639,8.7997979,m,Faido
Fehraltorf,47.3866248,8.755505,m,Fehraltorf
Fiesch,46.4040003,8.1355669,m,Fiesch
Fislisbach,47.4363454,8.2908926,m,Fislisbach
Flamatt,46.8896931,7.3191353,m,Neuenegg
Flamatt ,46.8899632,7.323263,mgls,Neuenegg
Flawil,47.4130548,9.1863798,mm,Flawil
Flawil,47.4155516,9.1890751,mig,Flawil
Fleurier,46.9020353,6.5805278,mm,Val-de-Travers
Forch,47.3176005,8.6666553,shell,Maur
Fornasette,45.9923867,8.7995044,pica,Astano
Frauenfeld ,47.5572448,8.896282,mig,Frauenfeld
Frauenfeld ,47.565858,8.9052823,m,Frauenfeld
Frauenfeld ,47.557151,8.8963904,mm,Frauenfeld
Frauenfeld ,47.5597074,8.900735,m,Frauenfeld
Frauenfeld ,47.5620839,8.9055846,mgls,Frauenfeld
Frauenfeld ,47.5633973,8.9077074,shell,Frauenfeld
Freienbach,47.2040089,8.7642881,shell,Freienbach
Frenkendorf,47.5015382,7.7192242,mig,Frenkendorf
Fribourg ,46.8006068,7.1444374,m,Fribourg
Fribourg ,46.7997003,7.152315,mm,Fribourg
Fribourg ,46.8097786,7.1723464,m,Fribourg
Fribourg ,46.8034025,7.1543652,m,Fribourg
Fribourg ,46.7992026,7.1337955,soca,Villars-sur-Glâne
Fribourg ,46.8033304,7.1500941,m,Fribourg
Fribourg ,46.8114955,7.139124,soca,Givisiez
Fribourg ,46.8101267,7.1490104,mm,Fribourg
Frick,47.5080226,8.0188978,m,Frick
Frutigen,46.5856019,7.6483603,m,Frutigen
Fully,46.136677,7.1193852,m,Fully
Fällanden,47.3739538,8.6409527,m,Fällanden
Füllinsdorf,47.5076558,7.7213368,mgls,Frenkendorf
Füllinsdorf,47.4993352,7.7226765,soca,Frenkendorf
Füllinsdorf ,47.502619,7.7251059,mm,Füllinsdorf
Füllinsdorf ,47.5011982,7.7249788,fm,Füllinsdorf
Gandria,46.0073342,9.0059322,pica,Canobbio
Saconnex ,46.228951,6.1198025,m,Le Grand-Saconnex
Gebenstorf,47.4900828,8.2443692,m,Turgi
Gelterkinden,47.4660758,7.8506659,mm,Gelterkinden
Genestrerio,45.8550221,8.9661279,pica,Novazzano
Genève ,46.2187665,6.1131166,mmm,Le Grand-Saconnex
Genève ,46.2189827,6.1129989,mgls,Le Grand-Saconnex
Genève ,46.1909267,6.1524674,mm,Carouge (GE)
Genève ,46.2082241,6.1231482,mm,Lancy
Genève ,46.224419,6.1078241,soca,Le Grand-Saconnex
Genève ,46.2312856,6.1102265,m,Le Grand-Saconnex
Genève ,46.2098132,6.1422156,m,Genève
Genève ,46.2039608,6.1585088,mm,Genève
Genève ,46.2039287,6.1461998,m,Genève
Genève ,46.2007896,6.1306224,mm,Genève
Genève ,46.2113723,6.1449087,mm,Genève
Genève ,46.212579,6.14974,mm,Genève
Genève ,46.1931467,6.1435018,mm,Carouge (GE)
Genève ,46.1919217,6.1639476,mm,Chêne-Bougeries
Genève ,46.212326,6.132171,m,Genève
