name,Long ,Lat,Ladentyp
Brugg SportXX,8.2081207,47.483265,spez
Brunnen - Bahnhofsmärcht,8.608986,46.99991,m
Brusino-Arsizio 1,8.919178,45.914485,pica
Brügg,7.278243,47.1236832,mig
Brügg - Centre Brügg,7.267001,47.119664,mmm
Bubendorf,7.7432173,47.4568583,mm
Buchrain - Tschannhof,8.3488964,47.0954005,m
Buchs AG - Wynecenter,8.0889759,47.3846372,mmm
Buchs Outlet,9.4787211,47.164196,spez
Buchs SG,9.472575,47.163967,mm
Buchs SG - MParc,9.4734086,47.1643081,fm
Bulle,7.0563577,46.6233565,mgls
Bulle - Gruyère-Centre,7.0574539,46.6232086,mmm
Bulle gare,7.0538661,46.6192669,m
Buochs,8.4159724,46.9777789,m
Burgdorf,7.6005253,47.068533,mgls
Burgdorf - Neumarkt,7.6208431,47.0592476,mm
Burgdorf Fachmarkt,7.6249767,47.0599893,fm
Bursins,6.2972544,46.4446744,soca
Bussigny,6.5530928,46.5475444,mm
Bussigny,6.551894,46.5476654,mig
Bülach,8.5443391,47.5117034,mgls
Bülach - Sonnenhof,8.5399087,47.5209712,mm
Bülach Süd,8.5392376,47.5096113,mmm
Bürglen/Altdorf - Urnertor,8.6515004,46.8727476,mm
Bütschwil,9.0730977,47.3631624,m
Cadenazzo,8.9385826,46.1521213,pica
Camorino,9.0015256,46.1670889,soca
Capolago,8.9829846,45.9099345,pica
Carouge,6.1407522,46.1834886,m
Carouge - Acacias,6.1376403,46.1914249,m
Carouge - MParc La Praille,6.1339501,46.1847993,fm
Carouge - Vibert,6.1344054,46.1824507,mm
Carouge Acacias,6.1318623,46.1897101,shell
Caslano,8.8766875,45.9769776,m
Caslano,8.8772401,45.9798317,pica
Caslano-Pura,8.8697849,45.9740608,pica
Centro Agno,8.9054575,45.9982691,mmm
Centro S.Antonino,8.961926,46.153893,mmm
Centro S.Antonino OBI,8.9595539,46.1544523,fm
Cernier,6.9017185,47.0580103,mm
Cham,8.4716866,47.1826816,shell
Cham - Neudorf,8.4615121,47.1820876,m
Chamoson,7.2233814,46.2020085,dmp
Change Grand-Saconnex,6.1240901,46.2347877,chngf
Change Mont-Blanc,6.1458185,46.2081631,chngf
Change Ouchy,6.6253223,46.5076352,chngf
Change Rive,6.1517737,46.2018344,chngf
Change Thônex,6.199113,46.1933173,chngf
Chavannes - Renens,6.5763873,46.5364692,m
Chavannes les Cèdres,6.5725481,46.5305659,m
Chavannes-de-Bogis,6.1546021,46.3452296,shell
Cheseaux,6.6013953,46.5825542,shell
Chez-le-Bart - Béroche,6.7838713,46.8996814,m
Chiasso - Boffalora,9.0240412,45.8373775,m
Chiasso Via Como,9.0338472,45.8379393,pica
Chiasso-Pedrinate1,9.0055867,45.8214687,pica
Chur,9.5127989,46.8515538,mgls
Chur - Calandapark,9.513262,46.846195,mm
Chur - Gäuggeli,9.5275536,46.8515396,mm
Chur - Ringstrasse,9.5207396,46.8577894,m
Chur - West,9.5344566,46.8731603,soca
Chur Masans,9.5346776,46.8717233,m
Chur-Ost,9.5339975,46.8729209,soca
Churwalden,9.543758,46.7779744,m
Châtel-St-Denis,6.9048889,46.5237831,mm
Chêne-Bougeries,6.1865501,46.2033483,shell
Chêne-Bourg,6.1943164,46.1963267,mm
Clarens - Centre,6.8934821,46.4412673,m
Cointrin,6.1073222,46.2253308,mgls
Coldrerio-Paese,8.9853133,45.8577734,pica
Collombey,6.9566145,46.2652306,mm
Collombey,6.9531105,46.2672488,mgls
Collonge-Bellerive - Vésenaz,6.1985909,46.240334,mm
Colombier,6.8517986,46.9672459,m
Conseil à domicile Micasa,6.418621,46.4748,fm
Conthey,7.3014206,46.2245292,mgls
Conthey - Forum des Alpes,7.3009436,46.2235391,mmm
Cortaillod,6.8429599,46.9442979,m
Cossonay,6.5066553,46.6137634,m
Courtepin,7.1201102,46.8656187,m
Crans-Montana,7.4732188,46.3094446,m
Crissier,6.5690604,46.5543608,mmm
Crocifisso di Savosa,8.9413299,46.0164918,m
Cugy,6.6414782,46.5877538,m
D+G Losone,8.7715623,46.1667017,fm
Daily Zürich-Zollstrasse,8.5369492,47.3798176,m
Davos Dorf,9.8419154,46.8096852,mig
Davos Outlet,9.821248,46.79356,spez
Davos Symondpark,9.8327029,46.8015209,mm
Davos-Dorf,9.8382834,46.8073239,m
Degersheim,9.1965728,47.3724798,m
Delémont,7.34649,47.3635367,mm
Delémont - MParc,7.3568451,47.3613406,fm
Derendingen,7.5836013,47.1974163,m
Dielsdorf,8.4644704,47.4807739,mm
Dielsdorf,8.4516463,47.4859688,mgls
Dielsdorf,8.46472,47.4813293,mgls
Diepoldsau,9.6562685,47.3857976,m
Dierikon Outlet,8.3630434,47.0954723,spez
Diessenhofen,8.7521372,47.6859558,m
Dietikon - Bernstrasse,8.3956104,47.3841388,mgls
Dietikon - Limmatfeld,8.4051555,47.4090317,m
Dietikon - Löwenzentrum,8.4018695,47.4051079,mm
Dietlikon,8.620246,47.4147399,shell
Dietlikon - Brunnenwiese,8.6216426,47.4191512,m
Domat-Ems,9.4653889,46.8372082,m
Domdidier,7.0092891,46.8653776,m
Dornach,7.6119786,47.4881024,m
Däniken,7.9825917,47.3564228,shell
Dättnau,8.699324,47.477406,m
Döttingen,8.255778,47.574184,m
Dübendorf,8.6176168,47.3982637,mm
Dübendorf,8.6234613,47.3999075,mig
Dübendorf - Bühlwiesen,8.6051913,47.3983776,soca
Dübendorf - Hochbord Nord,8.6037,47.4014,fm
Dübendorf - Im Giessen,8.6074055,47.4032249,shell
Dübendorf - Sonnental,8.6060292,47.3954996,shell
Dübendorf - Zur Schmiede,8.6231363,47.3963241,soca
Dübendorf Stettbach,8.598034,47.3976505,m
Düdingen,7.19207,46.8469871,mm
Düdingen,7.1910979,46.853979,shell
Ebikon - Ladengasse,8.3408568,47.0811001,mm
Ebikon - Mall of Switzerland,8.3588978,47.0939482,mmm
Ebmatingen,8.6432014,47.350978,m
Ebnat-Kappel,9.1197808,47.2664736,m
Echallens,6.6360482,46.6388941,mm
Ecublens - Croset,6.5649077,46.5345194,mm
Ecublens - EPFL,6.5645584,46.5230466,m
Effretikon,8.6871464,47.4296167,soca
