Gemeindename,place_latitude,place_longitude,place_openingHours,place_title,place_zipcode
Uetikon,47.26261726,8.67715104,07:30 - 20:00,Coop Supermarkt Uetikon,8707
Adliswil,47.31302929,8.52532768,07:30 - 20:00,Coop Supermarkt Adliswil,8134
Zürich,47.3926251,8.52465998,07:30 - 20:00,Coop Supermarkt Zürich Wipkingerbrücke,8037
Niederglatt,47.49123217,8.5039155,07:00 - 20:00,Coop Supermarkt Niederglatt,8172
Schwanden,46.99491397,9.07539788,07:30 - 19:00,Coop Supermarkt Schwanden,8762
Richterswil,47.20847638,8.70567811,07:00 - 20:00,Coop Supermarkt Richterswil Poststrasse,8805
Rüschlikon,47.3076713,8.55423462,07:00 - 20:00,Coop Supermarkt Rüschlikon,8803
Zürich,47.35337391,8.55909607,07:30 - 21:00,Coop Supermarkt Zürich Tiefenbrunnen,8008
Zürich,47.39572256,8.54047389,07:30 - 21:00,Coop Supermarkt Zürich Milchbuck,8057
Obfelden,47.26684854,8.42413865,07:30 - 20:00,Coop Supermarkt Obfelden,8912
Wald ZH,47.27363833,8.91460743,07:30 - 20:00,Coop Supermarkt Wald ZH,8636
Einsiedeln,47.12688509,8.74571476,07:30 - 20:00,Coop Supermarkt Einsiedeln,8840
Zürich,47.37002848,8.53710902,07:00 - 20:00,Coop Supermarkt Zürich Bärengasse,8001
Oberengstringen,47.4106037,8.45780623,07:00 - 21:00,Coop Supermarkt Oberengstringen,8102
Oberrieden,47.27822983,8.57540269,07:00 - 20:00,Coop Supermarkt Oberrieden,8942
Zürich,47.32626614,8.51425939,07:30 - 20:00,Coop Supermarkt Zürich Leimbach,8041
Bäretswil,47.33520524,8.85517487,07:30 - 20:00,Coop Supermarkt Bäretswil,8344
Niederurnen,47.12719253,9.05533302,07:30 - 20:00,Coop Supermarkt Niederurnen,8867
Jona,47.22977806,8.84886676,08:00 - 20:00,Coop Supermarkt Jona Center,8645
Luterbach,47.21600031,7.58685659,08:00 - 18:30,Coop Supermarkt Luterbach,4542
Erlinsbach,47.39846479,8.00691383,07:30 - 18:30,Coop Supermarkt Erlinsbach,5015
Selzach,47.20439184,7.45629194,08:00 - 18:30,Coop Supermarkt Selzach,2545
Strengelbach,47.27964302,7.9270188,07:30 - 19:00,Coop Supermarkt Strengelbach,4802
Subingen,47.19650886,7.61261519,07:00 - 18:30,Coop Supermarkt Subingen,4553
Brittnau,47.26039925,7.94670141,08:00 - 19:00,Coop Supermarkt Brittnau,4805
Langenthal,47.22080248,7.78150314,07:30 - 19:00,Coop Supermarkt Langenthal Bäregg,4900
Wangen an der Aare,47.23435626,7.65615897,08:00 - 19:00,Coop Supermarkt Wangen an der Aare,3380
Mümliswil,47.34209291,7.70361342,08:00 - 12:30 14:00 - 18:30,Coop Supermarkt Mümliswil,4717
Crans,46.30764132,7.46784463,08:00 - 19:00,Coop Supermarché Crans-Sur-Sierre,3963
Ovronnaz,46.20288945,7.16799519,08:00 - 18:30,Coop Supermarché Ovronnaz,1911
Verbier,46.0973949,7.22532443,08:00 - 19:00,Coop Supermarché Verbier,1936
Saxon,46.14936393,7.17514674,07:00 - 18:30,Coop Supermarché Saxon,1907
Charmey,46.61972935,7.16064205,07:30 - 19:00,Coop Supermarché Charmey,1637
Granges-Marnand,46.76181498,6.89034145,07:00 - 19:00,Coop Supermarché Granges-Marnand,1523
Yvonand,46.79992441,6.74543735,07:30 - 18:30,Coop Supermarché Yvonand,1462
Genève,46.20692726,6.12977295,07:30 - 19:00,Coop Supermarché Genève Daubin,1203
Genève,46.213225,6.12356835,07:30 - 19:00,Coop Supermarché Genève Vieusseux,1203
Genève,46.20429932,6.16190566,07:30 - 19:00,Coop Supermarché Genève Montchoisy,1207
Genève,46.20123146,6.13905792,07:30 - 19:00,Coop Supermarché Genève Cirque,1205
