Gemeindename,place_latitude,place_longitude,place_openingHours,place_title,place_zipcode
Villeneuve,46.39828198,6.92540909,08:00 - 19:00,Coop Supermarché Villeneuve,1844
Moudon,46.66821424,6.80022518,07:30 - 19:00,Coop Supermarché Moudon,1510
Murgenthal,47.26750949,7.83562308,07:00 - 20:00,Coop Supermarkt Murgenthal,4853
Payerne,46.82211452,6.94185849,08:00 - 19:00,Coop Supermarché Payerne,1530
Allaman,46.47714006,6.40270439,08:30 - 19:30,Coop Supermarché Allaman Littoral Centre,1165
Bassecourt,47.33786599,7.2528355,08:00 - 18:30,Coop Supermarché Bassecourt,2854
Moutier,47.27749786,7.36880943,08:00 - 19:00,Coop Supermarché Moutier,2740
Bottmingen,47.52693326,7.57290142,07:30 - 20:00,Coop Supermarkt Bottmingen,4103
Frenkendorf,47.50222967,7.72146525,08:00 - 20:00,Coop Supermarkt Frenkendorf,4402
Biberist,47.18187519,7.56325225,08:00 - 18:30,Coop Supermarkt Biberist,4562
Zürich,47.4048558,8.57175939,06:30 - 21:00,Coop Supermarkt Zürich Schwamendingen,8051
Reconvilier,47.23074956,7.21250982,08:00 - 19:00,Coop Supermarché Reconvilier,2732
Collombey,46.26496234,6.95377528,08:30 - 18:30,Coop Supermarché Collombey,1868
Bischofszell,47.49049382,9.23791454,08:00 - 20:00,Coop Supermarkt Bischofszell,9220
Flawil,47.413784,9.18563336,08:00 - 19:00,Coop Supermarkt Flawil,9230
Chur,46.85244259,9.53460415,08:00 - 20:00,Coop Supermarkt Chur Quader,7000
Mels,47.04037007,9.43497633,08:00 - 19:00,Coop Supermarkt Mels Pizolcenter,8887
Würenlos,47.44316724,8.36231771,07:30 - 20:00,Coop Supermarkt Würenlos,5436
Cham,47.18145098,8.46177707,08:00 - 19:00,Coop Supermarkt Cham Seehof,6330
Nidau,47.1247874,7.2398827,07:00 - 19:00,Coop Supermarkt Nidau,2560
Grenchen,47.19237784,7.39729142,07:00 - 18:30,Coop Supermarkt Grenchen Zentrum,2540
Bätterkinden,47.13117769,7.53790764,08:00 - 19:00,Coop Supermarkt Bätterkinden,3315
Belp,46.89319267,7.49766988,08:00 - 19:00,Coop Supermarkt Belp,3123
Winterthur,47.50905335,8.75853902,07:30 - 20:00,Coop Supermarkt Winterthur Oberi,8404
Schaffhausen,47.70304045,8.64545542,07:30 - 19:00,Coop Supermarkt Schaffhausen Gruben,8200
Oberdiessbach,46.83763915,7.61768317,08:00 - 19:00,Coop Supermarkt Oberdiessbach,3672
Avenches,46.87760399,7.03163961,08:00 - 19:00,Coop Supermarché Avenches Milavy,1580
Colombier,46.96573799,6.85444527,08:00 - 19:00,Coop Supermarché Colombier,2013
Martigny,46.11100774,7.07524955,08:30 - 18:30,Coop Supermarché Martigny Cristal,1920
Peseux,46.98857068,6.89130673,07:30 - 19:00,Coop Supermarché Peseux,2034
Kriegstetten,47.17419433,7.59916676,07:00 - 18:30,Coop Supermarkt Kriegstetten,4566
Niederbipp,47.26950287,7.69350137,07:00 - 19:00,Coop Supermarkt Niederbipp,4704
Goldach,47.47955467,9.46939406,07:30 - 19:00,Coop Supermarkt Goldach,9403
Lutry,46.50582947,6.68849312,08:00 - 19:00,Coop Supermarché Lutry,1095
Würenlingen,47.52479253,8.24439916,09:00 - 20:00,Coop Supermarkt Würenlingen Aarepark,5303
Wettingen,47.45874956,8.32977671,08:00 - 20:00,Coop Supermarkt Wettingen Tägipark,5430
Muri,47.27266757,8.34077223,07:30 - 20:00,Coop Supermarkt Muri AG,5630
Tenero,46.17474097,8.85550218,08:00 - 19:00,Coop Supermercato Tenero,6598
Biasca,46.35808002,8.97199311,08:00 - 19:00,Coop Supermercato Biasca,6710
Viganello,46.00952126,8.96467754,08:00 - 19:00,Coop Supermercato Lugano Viganello,6962
Neftenbach,47.52635623,8.66903723,07:30 - 19:00,Coop Supermarkt Neftenbach,8413
Schaan FL,47.17536236,9.50984688,07:00 - 19:00,Coop Supermarkt Schaan,9494
Domat-Ems,46.83696591,9.45249253,08:00 - 20:00,Coop Supermarkt Domat-Ems,7013
Wil,47.46462089,9.04547725,08:00 - 20:00,Coop Supermarkt Wil Stadtmarkt,9500
Wetzikon,47.3262345,8.79774146,07:30 - 20:00,Coop Supermarkt Wetzikon,8620
Lachen,47.19143155,8.8558794,08:00 - 20:00,Coop Supermarkt Lachen,8853
Sursee,47.17300759,8.10336176,08:00 - 19:00,Coop Supermarkt Sursee Surseepark,6210
Seewen,47.03345952,8.6282528,08:00 - 20:00,Coop Supermarkt Seewen-Markt,6423
Vevey,46.46037413,6.84508853,08:00 - 18:30,Coop Supermarché Vevey,1800
La Chaux-de-Fonds,47.09458812,6.81676265,08:00 - 19:00,Coop Supermarché La Chaux-de-Fonds Entilles,2300
Bulle,46.62501634,7.0600625,07:30 - 19:00,Coop Supermarché Bulle Le Caro,1630
Fontainemelon,47.05756454,6.89307583,08:00 - 19:00,Coop Supermarché Fontainemelon,2052
Burgdorf,47.05682628,7.62936612,08:00 - 19:00,Coop Supermarkt Burgdorf Schützenmatte,3400
Haag,47.21211433,9.49505502,08:00 - 19:00,Coop Supermarkt Haag,9469
Rickenbach bei Wil,47.44704549,9.0530358,08:00 - 20:00,Coop Supermarkt Rickenbach,9532
St. Gallen Lerchenfeld,47.41270539,9.33611844,08:00 - 19:00,Coop Supermarkt St. Gallen Lerchenfeld,9014
Granges-Paccot,46.82082407,7.15307591,08:00 - 19:00,Coop Supermarché Granges-Paccot,1763
Montagny-près-Yverdon,46.78993269,6.62066939,08:00 - 19:00,Coop Supermarché Montagny-près-Yverdon,1442
Morges,46.50714827,6.48538837,08:00 - 18:45,Coop Supermarché Morges La Gottaz,1110
Bachenbülach,47.50612313,8.54184781,Closed,Coop Supermarkt Bachenbülach,8184
Regensdorf,47.43739171,8.47489096,08:00 - 21:00,Coop Supermarkt Regensdorf Rägi Märt,8105
Schenkon,47.17817041,8.12640727,08:00 - 19:00,Coop Supermarkt Schenkon,6214
Uznach,47.2251971,8.97017386,09:00 - 19:00,Coop Supermarkt Uznach Linthpark,8730
Zürich,47.370503,8.4919941,07:30 - 20:00,Coop Supermarkt Zürich Triemli,8047
Zürich,47.35810529,8.55446969,07:00 - 22:00,Coop Supermarkt Zürich Seefeld,8008
Le Grand-Saconnex,46.23110192,6.11903926,07:30 - 19:00,Coop Supermarché Le Grand-Saconnex,1218
Zürich,47.37769327,8.51117918,07:00 - 22:00,Coop Supermarkt Zürich Albisriederplatz,8003
Dietikon,47.41830613,8.39219442,08:00 - 21:00,Coop Supermarkt Dietikon Silbern,8953
Rothenburg,47.09302941,8.27067795,07:30 - 19:00,Coop Supermarkt Rothenburg,6023
Goldau,47.05039724,8.55031476,07:30 - 20:00,Coop Supermarkt Goldau,6410
Richterswil,47.20372174,8.68385166,08:00 - 20:00,Coop Supermarkt Richterswil Obermatt,8805
Gossau,47.30556387,8.75731373,07:30 - 20:00,Coop Supermarkt Gossau ZH,8625
Siebnen,47.17569614,8.9019567,08:00 - 20:00,Coop Supermarkt Siebnen,8854
Feldmeilen,47.27973728,8.61519578,07:30 - 20:00,Coop Supermarkt Feldmeilen,8706
Rümlang,47.46318463,8.52630005,08:00 - 20:00,Coop Supermarkt Rümlang Riedmatt,8153
Riazzino,46.17495694,8.89160337,06:00 - 22:00,Coop Supermercato Riazzino PY,6595
Vezia,46.02126179,8.93660527,08:00 - 19:00,Coop Supermercato Vezia,6943
Kreuzlingen,47.63888284,9.20270227,08:00 - 19:00,Coop Supermarkt Kreuzlingen Ziilcenter,8280
Zürich,47.35807052,8.52320123,09:00 - 21:00,Coop Supermarkt Zürich Sihlcity Supermarkt,8045
Kriens,47.0175223,8.29973306,09:00 - 19:00,Coop Supermarkt Kriens Pilatusmarkt,6010
Thun,46.74052623,7.62194084,08:00 - 20:00,Coop Supermarkt Thun Strättligen Markt,3604
Egerkingen,47.31798672,7.80309045,09:00 - 18:30,Coop Supermarkt Egerkingen Gäupark,4622
Oftringen,47.31205545,7.91296578,09:00 - 20:00,Coop Supermarkt Oftringen Perry Center,4665
Bern,46.96190201,7.4651473,08:00 - 20:00,Coop Supermarkt Bern Wankdorf Center,3014
Neuchâtel,46.99538322,6.94320844,08:00 - 19:00,Coop Supermarché Neuchâtel La Maladière,2000
Zürich,47.37589051,8.48710841,08:00 - 20:00,Coop Supermarkt Zürich A-Park,8047
Langnau am Albis,47.28924305,8.53986191,07:30 - 20:00,Coop Supermarkt Langnau am Albis,8135
Steinhausen,47.19695076,8.48374435,07:00 - 19:00,Coop Supermarkt Steinhausen,6312
Unterägeri,47.1377688,8.58114696,07:30 - 19:00,Coop Supermarkt Unterägeri Chilematt,6314
Zollikerberg,47.34701227,8.59665588,Closed,Coop Supermarkt Zollikerberg Neumünster,8125
Zürich,47.3912338,8.50795501,06:30 - 21:00,Coop Supermarkt Zürich Hard Turm Park,8005
Münsingen,46.87451986,7.56343408,08:00 - 20:00,Coop Supermarkt Münsingen,3110
Muri,46.93215739,7.48421344,08:00 - 19:00,Coop Supermarkt Muri,3074
Gümligen,46.93329934,7.50393849,08:00 - 19:00,Coop Supermarkt Gümligen Zentrum Moos,3073
Solothurn,47.20379718,7.54337334,05:30 - 22:00,Coop Supermarkt Solothurn Bahnhof,4501
Schönenwerd,47.37324191,8.00186508,07:30 - 18:30,Coop Supermarkt Schönenwerd,5012
Villmergen,47.34698201,8.24516576,08:00 - 20:00,Coop Supermarkt Villmergen,5612
Mellingen,47.4187554,8.26993525,08:00 - 20:00,Coop Supermarkt Mellingen,5507
Lupfig,47.4489907,8.21498071,08:00 - 20:00,Coop Supermarkt Lupfig,5242
Lausanne,46.53292081,6.64675606,07:30 - 19:00,Coop Supermarché La Sallaz,1010
Renens,46.53832361,6.58174145,08:00 - 19:00,Coop Supermarché Renens Centre,1020
Arosa,46.78301516,9.68479454,08:00 - 19:00,Coop Supermarkt Arosa Valsana,7050
Rheineck,47.46835673,9.58965642,06:30 - 19:00,Coop Supermarkt Rheineck,9424
Scuol,46.79543626,10.29543821,08:00 - 19:00,Coop Supermarkt Scuol,7550
Degersheim,47.37230702,9.1953316,07:30 - 19:00,Coop Supermarkt Degersheim,9113
Neuhausen,47.68284029,8.61999512,07:30 - 20:00,Coop Supermarkt Neuhausen Posthof,8212
Sementina,46.18576839,8.99253258,08:00 - 19:00,Coop Supermercato Sementina,6514
Versoix,46.28072659,6.16660841,08:00 - 19:00,Coop Supermarché Versoix Centre,1290
Münster,46.48814692,8.26931656,08:00 - 12:00 14:00 - 18:30,Coop Supermarkt Münster,3985
Matran,46.7808013,7.08801101,08:00 - 19:00,Coop Supermarché Matran,1753
Riggisberg,46.80965221,7.47875192,07:30 - 19:00,Coop Supermarkt Riggisberg,3132
Vaduz FL,47.14019056,9.52076266,07:00 - 19:00,Coop Supermarkt Vaduz Städtlemarkt,9490
Einsiedeln,47.1324888,8.74500792,08:00 - 20:00,Coop Supermarkt Einsiedeln wissmüli markt K.,8840
Egg ZH,47.30402092,8.69157469,08:00 - 20:00,Coop Supermarkt Egg,8132
Jegenstorf,47.04982218,7.50627704,08:00 - 19:00,Coop Supermarkt Jegenstorf,3303
Langnau,46.94043509,7.77829706,08:00 - 19:00,Coop Supermarkt Langnau Ilfiscenter,3550
Pratteln,47.52756564,7.69027554,10:00 - 20:00,Coop Supermarkt Pratteln Grüssen,4133
Basel,47.57068686,7.57379539,07:30 - 20:00,Coop Supermarkt Basel Volta Zentrum,4056
Luzern,47.05026829,8.3101825,06:00 - 22:00,Coop Supermarkt Luzern Bahnhof,6003
Luzern,47.03689671,8.32830747,08:30 - 19:00,Coop Supermarkt Luzern Schönbühl,6005
Meiringen,46.72871118,8.18178542,08:00 - 19:00,Coop Supermarkt Meiringen,3860
Giffers,46.76198493,7.20890343,07:00 - 19:00,Coop Supermarkt Giffers,1735
Zumikon,47.33680935,8.6182018,07:30 - 20:00,Coop Supermarkt Zumikon Morgental,8126
Gampel,46.31497008,7.74421671,07:30 - 18:30,Coop Supermarkt Gampel,3945
Susten,46.31144565,7.64396741,06:00 - 18:30,Coop Supermarkt Susten,3952
Lyss,47.07275264,7.30258868,07:00 - 19:00,Coop Supermarkt Lyss Stigli,3250
Penthalaz,46.6070882,6.52260216,07:30 - 19:00,Coop Supermarché Penthalaz Venoge,1305
Haute-Nendaz,46.18244588,7.29071416,08:00 - 19:00,Coop Supermarché Nendaz,1997
Sins,47.19078105,8.39571128,07:30 - 20:00,Coop Supermarkt Sins,5643
Gebenstorf,47.48948506,8.24505782,08:00 - 20:00,Coop Supermarkt Gebenstorf,5412
Conthey,46.22400458,7.30471535,08:30 - 18:30,Coop Supermarché Conthey,1964
Bern,46.94385556,7.40616568,07:00 - 20:00,Coop Supermarkt Bern Europaplatz,3008
Winterthur,47.5039842,8.77074526,07:30 - 20:00,Coop Supermarkt Winterthur Hegi,8409
Lauterbrunnen,46.59851544,7.90716658,08:00 - 18:30,Coop Supermarkt Lauterbrunnen,3822
Grosshöchstetten,46.90607663,7.63884599,08:00 - 19:00,Coop Supermarkt Grosshöchstetten,3506
Maggia,46.2457183,8.7046915,08:00 - 19:00,Coop Supermercato Maggia,6673
Aarau,47.39187281,8.05243428,06:00 - 22:00,Coop Supermarkt Aarau Bahnhof,5000
Balzers,47.06616535,9.4982394,08:00 - 19:00,Coop Supermarkt Balzers,9496
Altstätten,47.38140149,9.54698442,07:00 - 19:00,Coop Supermarkt Altstätten,9450
Flums,47.09078284,9.34506898,07:30 - 19:00,Coop Supermarkt Flums,8890
Grindelwald,46.62428171,8.03583124,08:00 - 19:00,Coop Supermarkt Grindelwald,3818
Zürich,47.37369999,8.50237262,07:30 - 20:00,Coop Supermarkt Zürich Gutstrasse,8047
Hombrechtikon,47.25312317,8.77332682,08:00 - 20:00,Coop Supermarkt Hombrechtikon,8634
Olten,47.34710681,7.90869824,07:00 - 18:30,Coop Supermarkt Olten Sälihof,4600
Basel,47.56913304,7.57966526,07:30 - 20:00,Coop Supermarkt Basel Elsässerstrasse,4056
Unterwasser,47.19674857,9.31043582,07:30 - 19:00,Coop Supermarkt Unterwasser,9657
Erlenbach,47.30703011,8.58926781,07:30 - 21:00,Coop Supermarkt Erlenbach,8703
Bettmeralp,46.38779122,8.05870848,08:00 - 12:00,Coop Supermarkt Bettmeralp,3992
Wallisellen,47.41304959,8.59273868,06:30 - 21:00,Coop Supermarkt Wallisellen Bahnhofplatz,8304
Murten,46.93693758,7.1362,08:00 - 19:00,Coop Supermarkt Murten Löwenberg K.,3280
Allschwil,47.54767337,7.54679745,07:30 - 20:00,Coop Supermarkt Allschwil Letten Center,4123
Le Landeron,47.0544596,7.06788375,07:30 - 19:00,Coop Supermarché Le Landeron rue du Lac,2525
les Diablerets,46.35217262,7.1991825,08:00 - 19:00,Coop Supermarché Les Diablerets,1865
Basel,47.57188255,7.60245172,07:30 - 20:00,Coop Supermarkt Basel Erlenmatt,4058
Bern,46.94857496,7.37708087,07:00 - 19:00,Coop Supermarkt Bern Gäbelbach,3027
Visp,46.29237453,7.87970241,08:00 - 18:30,Coop Supermarkt Visp Centerpark,3930
Thônex,46.19248946,6.20168158,07:30 - 19:00,Coop Supermarché Thônex,1226
Winterthur,47.49493455,8.71247918,08:00 - 20:00,Coop Supermarkt Winterthur Lokwerk,8406
Oberwil,47.50759886,7.55371172,08:00 - 20:00,Coop Supermarkt Oberwil Mühlematt,4104
Montreux,46.43153708,6.91131683,08:00 - 19:00,Coop Supermarché Montreux,1820
Biel,47.16201778,7.29411851,08:00 - 19:00,Coop Supermarkt Biel Boujean,2504
Canobbio,46.02831325,8.96756653,08:30 - 19:00,Coop Supermercato Canobbio Ipermercato Resega,6952
Conthey,46.22396684,7.29580013,08:30 - 18:30,Coop Supermarché Conthey Bassin,1964
Dietlikon,47.41277022,8.61862594,09:00 - 21:00,Coop Supermarkt Dietlikon Center,8305
Heimberg,46.77983091,7.60825974,08:00 - 20:00,Coop Supermarkt Heimberg Center,3627
Hinwil,47.3066264,8.8179663,08:00 - 20:00,Coop Supermarkt Hinwil Center,8340
La Chaux-de-Fonds,47.08865409,6.8025281,08:00 - 19:00,Coop Supermarché La Chaux-de-Fonds Eplatures,2300
Losone,46.16469575,8.76858749,08:30 - 19:00,Coop Supermercato Losone Ipermercato Cattori,6616
Urtenen-Schönbühl,47.01866603,7.50087146,08:00 - 19:00,Coop Supermarkt Schönbühl Center,3322
Visp Eyholz,46.29627224,7.91461964,08:00 - 18:30,Coop Supermarkt Eyholz Center,3930
St. Gallen,47.40862158,9.30684352,08:00 - 19:00,Coop Supermarkt St. Gallen Shopping Arena,9015
Basel,47.54538742,7.58864858,07:00 - 22:00,Coop Supermarkt Basel Südpark,4053
Crans-Montana,46.3117566,7.48306165,08:00 - 19:00,Coop Supermarché Crans-Montana,3963
Bassersdorf,47.44260442,8.63114125,07:30 - 20:00,Coop Supermarkt Bassersdorf,8303
Chur,46.8474601,9.50829719,09:00 - 20:00,Coop Supermarkt Chur West,7000
Vaduz,47.15438917,9.51030107,07:00 - 19:00,Coop Supermarkt Vaduz Mühleholz,9490
Rheinfelden,47.55154067,7.78538904,08:00 - 20:00,Coop Supermarkt Rheinfelden Salmen-Center,4310
Huttwil,47.1138026,7.84402513,07:00 - 19:00,Coop Supermarkt Huttwil,4950
Schmitten,46.85476656,7.24957642,07:00 - 19:00,Coop Supermarkt Schmitten,3185
Grächen,46.19703384,7.83912035,08:00 - 12:00 14:00 - 18:30,Coop Supermarkt Grächen,3925
Laupen,46.9060086,7.23634919,08:00 - 19:00,Coop Supermarkt Laupen,3177
Studen,47.11298565,7.30101082,07:00 - 19:00,Coop Supermarkt Studen,2557
Sembrancher,46.07844271,7.13920689,07:30 - 18:30,Coop Supermarché Sembrancher,1933
Hüntwangen,47.58203465,8.51440636,08:00 - 20:00,Coop Supermarkt Hüntwangen,8194
Bern,46.94893362,7.43992086,06:00 - 23:00,Coop Supermarkt Bern Bahnhof,3011
Zürich,47.42548073,8.49689962,08:00 - 20:00,Coop Supermarkt Zürich Mühlackerstrasse,8046
Zürich,47.3780996,8.53495795,06:30 - 21:00,Coop Supermarkt Zürich Europaallee Passage,8001
Interlaken,46.69044901,7.86915085,06:00 - 20:00,Coop Supermarkt Interlaken Bahnhof,3800
Flims,46.8339139,9.28142869,08:00 - 19:00,Coop Supermarkt Flims Stenna,7017
Schiers,46.96967769,9.68415297,07:30 - 20:00,Coop Supermarkt Schiers,7220
Zürich,47.40352301,8.58920665,07:30 - 20:00,Coop Supermarkt Zürich Hirzenbachstrasse,8051
Lucens,46.70753121,6.8394484,07:30 - 19:00,Coop Supermarché Lucens,1522
La Roche,46.69801132,7.14020726,07:00 - 19:00,Coop Supermarché La Roche,1634
Sierre,46.28103832,7.51273395,08:00 - 18:30,Coop Supermarché Sierre Rossfeld,3960
Meisterschwanden,47.2957147,8.22775792,08:00 - 20:00,Coop Supermarkt Meisterschwanden,5616
Gland,46.42738093,6.26605601,08:00 - 19:00,Coop Supermarché Gland Eikenott,1196
Satigny,46.20957226,6.03618104,07:30 - 19:00,Coop Supermarché Satigny,1242
Schlieren,47.40025288,8.44108784,07:30 - 20:00,Coop Supermarkt Schlieren Rietpark,8952
Aarberg,47.04245889,7.27642753,08:00 - 20:00,Coop Supermarkt Aarberg,3270
Frauenfeld,47.56741552,8.90634769,08:00 - 20:00,Coop Supermarkt Frauenfeld Allmendcenter,8500
Glattpark Opfikon,47.42362681,8.56179424,07:00 - 20:00,Coop Supermarkt Opfikon Lindbergh-Allee,8152
Kollbrunn,47.45645343,8.77389196,07:30 - 20:00,Coop Supermarkt Kollbrunn,8483
Hergiswil,46.98169315,8.3103969,07:30 - 20:00,Coop Supermarkt Hergiswil Bahnhofstrasse,6052
Hitzkirch,47.22399572,8.26013205,07:30 - 19:00,Coop Supermarkt Hitzkirch,6285
Monthey,46.25112213,6.95059228,08:00 - 18:30,Coop Supermarché Monthey,1870
Vich,46.42453106,6.25500696,07:30 - 19:30,Coop Supermarché Vich,1267
Ormône-Savièse,46.24232873,7.33976683,07:30 - 18:30,Coop Supermarché Savièse,1965
Stein am Rhein,47.65324814,8.85333189,07:30 - 20:00,Coop Supermarkt Stein am Rhein,8260
Magliaso,45.98527123,8.89078128,08:00 - 19:00,Coop Supermercato Magliaso,6983
Zürich,47.40838721,8.50796829,07:00 - 20:00,Coop Supermarkt Zürich ETH Hönggerberg,8049
Zürich,47.3876004,8.48529942,07:00 - 21:00,Coop Supermarkt Zürich Lindenplatz,8048
Zürich,47.40641525,8.48162814,06:30 - 21:00,Coop Supermarkt Zürich Bombach,8049
Urdorf,47.38503255,8.42232589,08:00 - 20:00,Coop Supermarkt Urdorf,8902
Menzingen,47.17878105,8.58831663,07:00 - 19:00,Coop Supermarkt Menzingen,6313
Zürich,47.39216294,8.49002524,06:00 - 22:00,Coop Supermarkt Zürich Westlink,8048
Fribourg,46.80341028,7.15003761,06:00 - 21:00,Coop Supermarché Fribourg Gare,1700
Etagnières,46.59400098,6.60842008,07:30 - 19:30,Coop Supermarché Etagnières,1037
Châtelaine,46.21296159,6.11259677,07:30 - 19:00,Coop Supermarché Vernier Châtelaine la Fenice,1219
Glattbrugg,47.43067825,8.56000775,06:30 - 21:00,Coop Supermarkt Glattbrugg Bahnhof,8152
Zürich,47.34712872,8.53311665,07:00 - 21:00,Coop Supermarkt Zürich Wollishofen Seestr.,8038
Uster,47.35499935,8.71286753,08:00 - 20:00,Coop Supermarkt Uster Winterthurerstrasse,8610
Zürich,47.37009951,8.51428351,07:30 - 20:00,Coop Supermarkt Zürich Zentrum Friesenberg,8045
Zürich,47.37777888,8.54030136,06:00 - 22:00,Coop Supermarkt Zürich ShopVille HB,8021
Le Noirmont,47.22346594,6.95607908,07:30 - 18:30,Coop Supermarché Noirmont,2340
Wädenswil,47.23108584,8.66973782,08:00 - 19:00,Coop Supermarkt Wädenswil di alt Fabrik,8820
Sion,46.22611717,7.36067699,08:00 - 18:30,Coop Supermarché Sion sous Gare,1950
Prilly,46.52940161,6.60135629,07:30 - 19:00,Coop Supermarché Prilly Business Parc,1008
Diepoldsau,47.38947227,9.64904435,07:00 - 19:00,Coop Supermarkt Diepoldsau,9444
Zürich,47.36777486,8.53572531,07:00 - 20:00,Coop Supermarkt Zürich Bleicherweg,8002
Matzendorf,47.30675686,7.62892144,08:00 - 12:30 14:00 - 18:30,Coop Supermarkt Matzendorf,4713
Fully,46.15097436,7.14560162,07:30 - 18:30,Coop Supermarché Fully,1926
Windisch,47.48155682,8.21139627,06:30 - 20:00,Coop Supermarkt Brugg Campus,5210
Zug,47.17416839,8.51556732,06:00 - 22:00,Coop Supermarkt Zug Bahnhof,6300
Wallisellen,47.40948863,8.59622588,07:00 - 21:00,Coop Supermarkt Wallisellen Richti-Shopping,8304
Giswil,46.83757747,8.1861729,07:00 - 19:00,Coop Supermarkt Giswil,6074
Bülach,47.52592969,8.53615066,08:00 - 20:00,Coop Supermarkt Bülach im Guss,8180
Rapperswil,47.22754876,8.82202588,07:00 - 20:00,Coop Supermarkt Rapperswil,8640
Schwyz,47.02031389,8.65166624,07:30 - 20:00,Coop Supermarkt Schwyz,6430
Delemont,47.37072722,7.35846418,08:00 - 18:30,Coop Supermarché Coop Delémont Ticle,2800
Lausanne,46.53092851,6.63466286,07:30 - 19:00,Coop Supermarché Lausanne Rouvraie,1018
Oensingen,47.28914036,7.71968992,08:00 - 18:30,Coop Supermarkt Oensingen,4702
Fällanden,47.3710099,8.64174701,07:00 - 20:00,Coop Supermarkt Fällanden,8117
Uvrier,46.25147159,7.40808736,08:30 - 18:30,Coop Supermarché Uvrier,1958
Vuadens,46.61808645,7.01816451,07:30 - 19:00,Coop Supermarché Vuadens,1628
Brig,46.318688,7.98862647,06:00 - 18:30,Coop Supermarkt Brig Zentrum Post,3900
Zürich,47.38585248,8.51690623,06:00 - 20:00,Coop Supermarkt Zürich Maagplatz,8005
Geroldswil,47.42167439,8.40789381,07:30 - 20:00,Coop Supermarkt Geroldswil,8954
St. Margrethen,47.45146116,9.63551759,07:30 - 19:00,Coop Supermarkt St. Margrethen,9430
Zürich,47.38401936,8.54804585,07:30 - 21:00,Coop Supermarkt Zürich Rigiplatz,8006
Zuzwil,47.47316899,9.11255345,08:00 - 19:00,Coop Supermarkt Zuzwil Herbergmarkt,9524
Horn,47.49724713,9.45522834,07:00 - 20:00,Coop Supermarkt Horn,9326
Thun,46.7589364,7.62426801,08:00 - 20:00,Coop Supermarkt Thun Rexmax,3600
Bern,46.94543377,7.42677302,07:00 - 20:00,Coop Supermarkt Bern Brunnmatt,3007
Muttenz,47.53505433,7.64145075,07:00 - 18:00,Coop Supermarkt Muttenz Campus,4132
Uitikon,47.36812534,8.46227613,08:00 - 20:00,Coop Supermarkt Uitikon Waldegg,8142
Wichtrach,46.84925507,7.57634278,08:00 - 19:00,Coop Supermarkt Wichtrach,3114
Bellmund,47.10961562,7.24671126,07:00 - 19:00,Coop Supermarkt Bellmund,2564
Kleinandelfingen,47.60274861,8.68839052,07:30 - 20:00,Coop Supermarkt Kleinandelfingen,8451
St. Gallen,47.42230575,9.3686466,06:00 - 22:00,Coop Supermarkt St. Gallen Bahnhof,9000
Alle,47.4258026,7.12407294,07:30 - 18:30,Coop Supermarché Coop Alle,2942
Les Breuleux,47.20978292,7.00063428,07:30 - 18:30,Coop Supermarché Les Breuleux,2345
Lutry,46.50073872,6.69546842,08:00 - 19:00,Coop Supermarché Lutry la Corniche,1095
Genève,46.20457237,6.1268621,07:30 - 19:00,Coop Supermarché Genève St-Jean Parc,1203
Bützberg,47.21391969,7.74370409,08:00 - 19:00,Coop Supermarkt Bützberg,4922
Schattdorf,46.85540846,8.645037,08:00 - 18:30,Coop Supermarkt Schattdorf Tellpark,6467
Zürich,47.38048089,8.53426534,07:00 - 21:00,Coop Supermarkt Zürich Zollstrasse,8005
Interlaken,46.68490233,7.85357733,07:30 - 19:00,Coop Supermarkt Interlaken Post,3800
Stallikon,47.34282447,8.48309633,07:00 - 20:00,Coop Supermarkt Stallikon,8143
Bellinzona,46.19491796,9.02877377,06:00 - 21:00,Coop Supermercato Bellinzona Stazione,6500
Zürich,47.36308638,8.55004626,07:00 - 21:00,Coop Supermarkt Zürich Brotgasse,8008
Zürich,47.390513,8.51775561,07:00 - 20:00,Coop Supermarkt Zürich Puls 5,8005
Güttingen,47.60399172,9.2874011,07:00 - 20:00,Coop Supermarkt Güttingen,8594
Arbon,47.51087643,9.43241471,07:00 - 19:00,Coop Supermarkt Arbon Hamel,9320
Champéry,46.17524797,6.87091295,08:00 - 18:30,Coop Supermarché Champéry,1874
Bubikon,47.27012896,8.82334085,06:00 - 21:00,Coop Supermarkt Bubikon,8608
Broc,46.60480891,7.11102981,07:30 - 19:00,Coop Supermarché Broc,1636
Ilanz,46.77462138,9.19260982,08:00 - 20:00,Coop Supermarkt Ilanz,7130
Plan-les-Ouates,46.1693247,6.12162449,07:30 - 19:00,Coop Supermarché Plan-les-Ouates Tourbillon,1228
Chatel Saint Denis,46.52276371,6.89801781,07:30 - 19:00,Coop Supermarché Châtel Saint Denis,1618
Zürich,47.38744666,8.51668685,07:00 - 21:00,Coop Supermarkt Pfingstweidstrasse Prime 2,8005
Sugiez,46.96526247,7.12233541,07:30 - 19:00,Coop Supermarché Sugiez,1786
Disentis,46.70017706,8.84215112,08:00 - 19:00,Coop Supermarkt Disentis,7180
Uster,47.34612243,8.70208034,07:30 - 20:00,Coop Supermarkt Uster Niederuster,8610
Arbedo,46.2133841,9.04254621,07:30 - 19:00,Coop Supermercato Arbedo,6517
Eschenbach LU,47.13546829,8.31913533,07:30 - 19:00,Coop Supermarkt Eschenbach LU,6274
Breitenbach,47.40592372,7.54049725,08:00 - 18:30,Coop Supermarkt Breitenbach,4226
