Gemeindename,place_latitude,place_longitude,place_openingHours,place_title,place_zipcode,Match,Gemeinde nach LONGLAT,Unnamed: 8,GMDNAME
Liestal,47.48399119,7.73525979,08:00 - 19:00,Coop Supermarkt Liestal Stabhof,4410,1075.0,,,Liestal
Liestal,47.48344865,7.73638454,08:00 - 19:00,Coop Supermarkt Liestal Bücheli Center,4410,1075.0,,,Liestal
Littau,47.05104427,8.27109232,07:30 - 19:00,Coop Supermarkt Littau,6014,,,,Kriens
Locarno,46.16913587,8.79467303,08:00 - 19:00,Coop Supermercato Locarno Piazza Grande,6600,1082.0,,,Locarno
Losone,46.16727779,8.76247376,08:00 - 19:00,Coop Supermercato Losone Mezzana,6616,1090.0,,,Losone
Losone,46.16469575,8.76858749,08:30 - 19:00,Coop Supermercato Losone Ipermercato Cattori,6616,1090.0,,,Losone
Lotzwil,47.19135296,7.79057699,07:00 - 19:00,Coop Supermarkt Lotzwil,4932,1093.0,,,Lotzwil
Lucens,46.70753121,6.8394484,07:30 - 19:00,Coop Supermarché Lucens,1522,1096.0,,,Lucens
Lugano,46.01728975,8.95839867,07:30 - 19:00,Coop Supermercato Lugano nord,6904,1098.0,,,Savosa
Lugano,46.00278434,8.94984837,08:00 - 19:00,Coop City Lugano,6900,1098.0,,,Lugano
Lupfig,47.4489907,8.21498071,08:00 - 20:00,Coop Supermarkt Lupfig,5242,1106.0,,,Hausen (AG)
Luterbach,47.21600031,7.58685659,08:00 - 18:30,Coop Supermarkt Luterbach,4542,1112.0,,,Luterbach
Lutry,46.50582947,6.68849312,08:00 - 19:00,Coop Supermarché Lutry,1095,1117.0,,,Lutry
Lutry,46.50073872,6.69546842,08:00 - 19:00,Coop Supermarché Lutry la Corniche,1095,1117.0,,,Lutry
Lützelflüh,47.00532301,7.68442459,08:00 - 19:00,Coop Supermarkt Lützelflüh,3432,1119.0,,,Lützelflüh
Luzern,47.03731803,8.30855099,07:30 - 19:00,Coop Supermarkt Luzern Hubelmatt,6005,1122.0,,,Luzern
Luzern,47.06118305,8.30858289,07:00 - 19:00,Coop Supermarkt Luzern Schlossberg,6004,1122.0,,,Luzern
Luzern,47.05115508,8.29995726,07:00 - 19:00,Coop Supermarkt Luzern Kasernenplatz,6003,1122.0,,,Luzern
Luzern,47.04639712,8.30702688,07:00 - 19:00,Coop Supermarkt Luzern Winkelried,6000,1122.0,,,Luzern
Luzern,47.05691699,8.3100537,07:30 - 19:00,Coop Supermarkt Luzern Löwencenter,6004,1122.0,,,Luzern
Luzern,47.05026829,8.3101825,06:00 - 22:00,Coop Supermarkt Luzern Bahnhof,6003,1122.0,,,Luzern
Luzern,47.03689671,8.32830747,08:30 - 19:00,Coop Supermarkt Luzern Schönbühl,6005,1122.0,,,Luzern
Luzern,47.04860355,8.30669413,06:30 - 19:00,Coop Supermarkt Hirschmatt Luzern,6003,1122.0,,,Luzern
Luzern,47.05214166,8.30393482,09:00 - 19:00,Coop City Luzern,6004,1122.0,,,Luzern
Lyss,47.07275264,7.30258868,07:00 - 19:00,Coop Supermarkt Lyss Stigli,3250,1123.0,,,Lyss
Madiswil,47.16602606,7.79845641,08:00 - 19:00,Coop Supermarkt Madiswil,4934,1125.0,,,Madiswil
Magden,47.52598469,7.81555051,07:30 - 19:00,Coop Supermarkt Magden,4312,1127.0,,,Magden
Maggia,46.2457183,8.7046915,08:00 - 19:00,Coop Supermercato Maggia,6673,1129.0,,,Maggia
Magliaso,45.98527123,8.89078128,08:00 - 19:00,Coop Supermercato Magliaso,6983,1130.0,,,Magliaso
Malters,47.03789241,8.17929409,07:30 - 19:00,Coop Supermarkt Malters Weihermatte,6102,1134.0,,,Malters
Malvaglia,46.41237757,8.97750971,08:00 - 19:00,Coop Supermercato Malvaglia,6713,,,,Serravalle
Männedorf,47.25544663,8.68973515,07:00 - 20:00,Coop Supermarkt Männedorf,8708,1137.0,,,Männedorf
Marly,46.78014859,7.15033197,07:30 - 19:00,Coop Supermarché Marly,1723,1142.0,,,Marly
Martigny,46.10345721,7.07707153,08:00 - 18:30,Coop Supermarché Martigny Ville,1920,1146.0,,,Martigny
Martigny,46.11100774,7.07524955,08:30 - 18:30,Coop Supermarché Martigny Cristal,1920,1146.0,,,Martigny
Martigny,46.12673639,7.06014958,06:00 - 21:00,Coop Supermarché Martigny Grand Saint-Bernard,1920,1146.0,,,Vernayaz
Matran,46.7808013,7.08801101,08:00 - 19:00,Coop Supermarché Matran,1753,1154.0,,,Matran
Matten b. Interlaken,46.68064551,7.86623635,08:00 - 20:00,Coop Supermarkt Matten,3800,,,,Matten bei Interlaken
Matzendorf,47.30675686,7.62892144,08:00 - 12:30 14:00 - 18:30,Coop Supermarkt Matzendorf,4713,1157.0,,,Matzendorf
Matzingen,47.52036327,8.93503208,07:30 - 19:00,Coop Supermarkt Matzingen,9548,1158.0,,,Matzingen
Meggen,47.0467889,8.37396748,07:30 - 19:00,Coop Supermarkt Meggen,6045,1164.0,,,Meggen
Meilen,47.26860958,8.64652325,07:00 - 20:00,Coop Supermarkt Meilen,8706,1168.0,,,Meilen
Meiringen,46.72871118,8.18178542,08:00 - 19:00,Coop Supermarkt Meiringen,3860,1171.0,,,Meiringen
Meisterschwanden,47.2957147,8.22775792,08:00 - 20:00,Coop Supermarkt Meisterschwanden,5616,1172.0,,,Meisterschwanden
Melide,45.95516576,8.94819719,08:00 - 19:00,Coop Supermercato Melide,6815,1174.0,,,Melide
Mellingen,47.4187554,8.26993525,08:00 - 20:00,Coop Supermarkt Mellingen,5507,1176.0,,,Mellingen
Mels,47.04731902,9.4208075,07:30 - 19:00,Coop Supermarkt Mels Dorf,8887,1177.0,,,Mels
Mels,47.04037007,9.43497633,08:00 - 19:00,Coop Supermarkt Mels Pizolcenter,8887,1177.0,,,Sargans
Menzingen,47.17878105,8.58831663,07:00 - 19:00,Coop Supermarkt Menzingen,6313,1182.0,,,Menzingen
Mesocco,46.39135803,9.23337138,08:00 - 12:00 14:30 - 19:00,Coop Supermercato Mesocco,6563,1189.0,,,Mesocco
Meyrin,46.22835347,6.07250028,07:30 - 19:00,Coop Supermarché Meyrin Verchère,1217,1197.0,,,Meyrin
Minusio,46.17487746,8.81241662,08:00 - 19:00,Coop Supermercato Minusio,6648,1203.0,,,Minusio
Möhlin,47.56337258,7.842219,08:00 - 19:00,Coop Supermarkt Möhlin,4313,1207.0,,,Möhlin
Montagny-près-Yverdon,46.78993269,6.62066939,08:00 - 19:00,Coop Supermarché Montagny-près-Yverdon,1442,1218.0,,,Montagny-près-Yverdon
Monthey,46.25112213,6.95059228,08:00 - 18:30,Coop Supermarché Monthey,1870,1225.0,,,Monthey
Montreux,46.43153708,6.91131683,08:00 - 19:00,Coop Supermarché Montreux,1820,1228.0,,,Montreux
Mörel,46.35672985,8.04703655,08:00 - 12:00 14:00 - 18:30,Coop Supermarkt Mörel-Filet,3983,,,,Mörel-Filet
Morges,46.51005961,6.4978718,07:30 - 18:45,Coop Supermarché Morges Charpentiers,1110,1235.0,,,Morges
Morges,46.50714827,6.48538837,08:00 - 18:45,Coop Supermarché Morges La Gottaz,1110,1235.0,,,Tolochenaz
Moudon,46.66821424,6.80022518,07:30 - 19:00,Coop Supermarché Moudon,1510,1243.0,,,Moudon
Moutier,47.27749786,7.36880943,08:00 - 19:00,Coop Supermarché Moutier,2740,1244.0,,,Moutier
Müllheim,47.60175154,9.00055571,08:00 - 19:00,Coop Supermarkt Müllheim,8555,1249.0,,,Müllheim
Mümliswil,47.34209291,7.70361342,08:00 - 12:30 14:00 - 18:30,Coop Supermarkt Mümliswil,4717,,,,Mümliswil-Ramiswil
Münchenbuchsee,47.01983354,7.44468317,07:00 - 19:00,Coop Supermarkt Münchenbuchsee,3053,1253.0,,,Münchenbuchsee
Münchenstein,47.52105145,7.60726145,07:00 - 20:00,Coop Supermarkt Münchenstein Gartenstadt,4142,1254.0,,,Münchenstein
Münchwilen,47.47928224,8.99560337,07:00 - 20:00,Coop Supermarkt Münchwilen,9542,,,,Münchwilen (TG)
Münsingen,46.87451986,7.56343408,08:00 - 20:00,Coop Supermarkt Münsingen,3110,1258.0,,,Münsingen
Münster,46.48814692,8.26931656,08:00 - 12:00 14:00 - 18:30,Coop Supermarkt Münster,3985,,,,Goms
Murgenthal,47.26750949,7.83562308,07:00 - 20:00,Coop Supermarkt Murgenthal,4853,1266.0,,,Murgenthal
Muri,47.27266757,8.34077223,07:30 - 20:00,Coop Supermarkt Muri AG,5630,,,,Muri (AG)
Muri,46.93215739,7.48421344,08:00 - 19:00,Coop Supermarkt Muri,3074,,,,Muri bei Bern
Mürren,46.5596186,7.8937222,08:00 - 18:30,Coop Supermarkt Mürren,3825,,,,Lauterbrunnen
Murten,46.9267689,7.11502549,07:00 - 20:00,Coop Supermarkt Murten Stedtli,3280,1270.0,,,Murten
Murten,46.93693758,7.1362,08:00 - 19:00,Coop Supermarkt Murten Löwenberg K.,3280,1270.0,,,Muntelier
Muttenz,47.53575258,7.62736225,08:00 - 20:00,Coop Supermarkt Muttenz Freidorf,4132,1272.0,,,Muttenz
Muttenz,47.52762357,7.6474909,08:00 - 20:00,Coop Supermarkt Muttenz Dorf,4132,1272.0,,,Muttenz
Muttenz,47.53505433,7.64145075,07:00 - 18:00,Coop Supermarkt Muttenz Campus,4132,1272.0,,,Muttenz
Naters,46.32285842,7.98938311,07:30 - 18:30,Coop Supermarkt Naters Bine,3904,1274.0,,,Naters
Naters,46.32820554,8.01050031,07:30 - 18:30,Coop Supermarkt Naters Aletsch,3904,1274.0,,,Bitsch
Neftenbach,47.52635623,8.66903723,07:30 - 19:00,Coop Supermarkt Neftenbach,8413,1278.0,,,Neftenbach
Nesslau,47.22550171,9.19932862,07:30 - 19:00,Coop Supermarkt Nesslau,9650,1282.0,,,Nesslau
Netstal,47.06738851,9.05866452,08:00 - 20:00,Coop Supermarkt Netstal Wiggispark,8754,,,,Glarus
Neuchâtel,46.98820848,6.90985808,07:30 - 19:00,Coop Supermarché Neuchâtel Vauseyon,2000,1283.0,,,Neuchâtel
Neuchâtel,46.990574,6.92967283,07:30 - 19:00,Coop Supermarché Neuchâtel La Treille,2000,1283.0,,,Neuchâtel
Neuchâtel,46.99538322,6.94320844,08:00 - 19:00,Coop Supermarché Neuchâtel La Maladière,2000,1283.0,,,Neuchâtel
Neuchâtel,46.99645756,6.93583574,06:00 - 22:00,Coop Supermarché Neuchatel Gare,2000,1283.0,,,Neuchâtel
Neuchâtel,46.98993715,6.93008643,08:00 - 19:00,Coop City Neuchâtel,2000,1283.0,,,Neuchâtel
Neuenegg,46.89405225,7.30180895,07:00 - 19:00,Coop Supermarkt Neuenegg,3176,1285.0,,,Neuenegg
Neuenhof,47.44915328,8.32847562,08:00 - 19:00,Coop Supermarkt Neuenhof,5432,1286.0,,,Neuenhof
Neuhausen,47.68284029,8.61999512,07:30 - 20:00,Coop Supermarkt Neuhausen Posthof,8212,,,,Neuhausen am Rheinfall
Neuhausen am Rheinfall,47.68013458,8.60649641,07:30 - 20:00,Coop Supermarkt Neuhausen Schützengut,8212,1288.0,,,Neuhausen am Rheinfall
Neunkirch,47.68958462,8.49599661,07:30 - 19:00,Coop Supermarkt Neunkirch,8213,1291.0,,,Neunkirch
Nidau,47.1247874,7.2398827,07:00 - 19:00,Coop Supermarkt Nidau,2560,1293.0,,,Nidau
Niederbipp,47.26950287,7.69350137,07:00 - 19:00,Coop Supermarkt Niederbipp,4704,1294.0,,,Niederbipp
Niederglatt,47.49123217,8.5039155,07:00 - 20:00,Coop Supermarkt Niederglatt,8172,1299.0,,,Niederglatt
Niederrohrdorf,47.42338799,8.30535488,08:00 - 20:00,Coop Supermarkt Niederrohrdorf,5443,1308.0,,,Niederrohrdorf
Niederscherli,46.88544253,7.38831882,07:00 - 19:00,Coop Supermarkt Niederscherli,3145,,,,Oberbalm
Niederurnen,47.12719253,9.05533302,07:30 - 20:00,Coop Supermarkt Niederurnen,8867,,,,Glarus Nord
Niederuzwil,47.44564064,9.13972141,08:00 - 19:00,Coop Supermarkt Niederuzwil,9244,,,,Uzwil
Niederwangen,46.92525079,7.37802664,07:00 - 19:00,Coop Supermarkt Niederwangen,3172,,,,Köniz
Nottwil,47.13684591,8.132429,07:00 - 19:00,Coop Supermarkt Nottwil Rösslipark,6207,1313.0,,,Nottwil
Nunningen,47.39369257,7.62040991,08:00 - 18:30,Coop Supermarkt Nunningen,4208,1319.0,,,Nunningen
Nyon,46.38807796,6.22873349,07:30 - 19:00,Coop Supermarché Nyon Levratte,1260,1323.0,,,Nyon
Oberägeri,47.13497234,8.61317404,07:30 - 19:00,Coop Supermarkt Oberägeri,6315,1324.0,,,Oberägeri
Oberburg,47.03696254,7.63079541,08:00 - 19:00,Coop Supermarkt Oberburg,3414,1329.0,,,Oberburg
Oberdiessbach,46.83763915,7.61768317,08:00 - 19:00,Coop Supermarkt Oberdiessbach,3672,1330.0,,,Oberdiessbach
Oberdorf,47.39441817,7.74866973,08:00 - 19:00,Coop Supermarkt Oberdorf,4436,,,,Oberdorf (BL)
Oberengstringen,47.4106037,8.45780623,07:00 - 21:00,Coop Supermarkt Oberengstringen,8102,1337.0,,,Oberengstringen
Oberrieden,47.27822983,8.57540269,07:00 - 20:00,Coop Supermarkt Oberrieden,8942,1355.0,,,Oberrieden
Oberriet,47.32350396,9.56891189,07:30 - 19:00,Coop Supermarkt Oberriet,9463,,,,Oberriet (SG)
Obersiggenthal,47.48860029,8.29190031,08:00 - 19:00,Coop Supermarkt Nussbaumen,5415,1360.0,,,Obersiggenthal
Oberwil,47.51449308,7.55785536,07:00 - 20:00,Coop Supermarkt Oberwil Bahnhofstrasse,4104,,,,Oberwil (BL)
Oberwil,47.50759886,7.55371172,08:00 - 20:00,Coop Supermarkt Oberwil Mühlematt,4104,,,,Oberwil (BL)
Obfelden,47.26684854,8.42413865,07:30 - 20:00,Coop Supermarkt Obfelden,8912,1368.0,,,Obfelden
Oensingen,47.28914036,7.71968992,08:00 - 18:30,Coop Supermarkt Oensingen,4702,1371.0,,,Oensingen
Oftringen,47.31205545,7.91296578,09:00 - 20:00,Coop Supermarkt Oftringen Perry Center,4665,1376.0,,,Oftringen
Olten,47.34674825,7.92147921,07:30 - 18:30,Coop Supermarkt Olten Wilerfeld,4600,1380.0,,,Starrkirch-Wil
Olten,47.34710681,7.90869824,07:00 - 18:30,Coop Supermarkt Olten Sälihof,4600,1380.0,,,Olten
Olten,47.35213801,7.90789544,06:00 - 22:00,Coop Supermarkt Olten Bahnhof,4600,1380.0,,,Olten
Onex,46.1875359,6.10417498,08:00 - 19:00,Coop Supermarché Onex,1213,1382.0,,,Onex
Orbe,46.73089685,6.53095037,07:30 - 18:30,Coop Supermarché Orbe,1350,1388.0,,,Orbe
Ormône-Savièse,46.24232873,7.33976683,07:30 - 18:30,Coop Supermarché Savièse,1965,,,,Savièse
Oron-La-Ville,46.5706302,6.82027913,08:00 - 19:00,Coop Supermarché Oron-La-Ville,1610,,,,Oron
Ostermundigen,46.9592886,7.50034364,07:00 - 20:00,Coop Supermarkt Ostermundigen Rütiweg,3072,1402.0,,,Ostermundigen
Ostermundigen,46.95565338,7.48362861,08:00 - 19:00,Coop Supermarkt Ostermundigen Bahnhofstrasse,3072,1402.0,,,Ostermundigen
Othmarsingen,47.40074835,8.2156557,08:00 - 19:00,Coop Supermarkt Othmarsingen,5504,1404.0,,,Othmarsingen
Ovronnaz,46.20288945,7.16799519,08:00 - 18:30,Coop Supermarché Ovronnaz,1911,,,,Saillon
Payerne,46.82211452,6.94185849,08:00 - 19:00,Coop Supermarché Payerne,1530,1410.0,,,Payerne
Penthalaz,46.6070882,6.52260216,07:30 - 19:00,Coop Supermarché Penthalaz Venoge,1305,1411.0,,,Penthalaz
Penthalaz,46.6088668,6.52674919,07:30 - 19:00,Coop Supermarché Penthalaz Village,1305,1411.0,,,Penthalaz
Peseux,46.98857068,6.89130673,07:30 - 19:00,Coop Supermarché Peseux,2034,,,,Milvignes
Petit-Lancy,46.19011727,6.11938644,07:30 - 19:00,Coop Supermarché Petit-Lancy,1213,,,,Lancy
Pfäffikon,47.20045871,8.77817615,07:00 - 20:00,Coop Supermarkt Pfäffikon SZ Etzelstrasse,8808,1421.0,,,Freienbach
Pfäffikon,47.36891345,8.78207973,07:30 - 20:00,Coop Supermarkt Pfäffikon ZH,8330,1421.0,,,Pfäffikon
Pfäffikon,47.2006128,8.79498274,08:00 - 21:00,Coop Supermarkt Pfäffikon SZ Seedamm,8808,1421.0,,,Freienbach
Pfäffikon,47.20293591,8.77866065,06:00 - 21:00,Coop Supermarkt Pfäffikon Bahnhof,8808,1421.0,,,Freienbach
Pieterlen,47.17449411,7.33645497,07:00 - 19:00,Coop Supermarkt Pieterlen,2542,1427.0,,,Pieterlen
Plaffeien,46.73985595,7.28992796,07:00 - 19:00,Coop Supermarkt Plaffeien,1716,1428.0,,,Plaffeien
Plan-Les-Ouates,46.16918372,6.12110989,08:00 - 19:00,Coop Supermarché Plan-Les-Ouates,1228,1429.0,,,Plan-les-Ouates
Plan-les-Ouates,46.1693247,6.12162449,07:30 - 19:00,Coop Supermarché Plan-les-Ouates Tourbillon,1228,1429.0,,,Plan-les-Ouates
Pontresina,46.48867605,9.90594488,08:00 - 19:00,Coop Supermarkt Pontresina,7504,1442.0,,,Pontresina
Porrentruy,47.41714885,7.07780986,08:00 - 18:30,Coop Supermarché Porrentruy Ajoie,2900,1443.0,,,Porrentruy
Poschiavo,46.32371079,10.05482009,08:00 - 12:15 13:30 - 18:30,Coop Supermercato Poschiavo,7742,1447.0,,,Poschiavo
Pratteln,47.52021534,7.69128962,08:00 - 20:00,Coop Supermarkt Pratteln Bahnhof,4133,1450.0,,,Pratteln
Pratteln,47.52756564,7.69027554,10:00 - 20:00,Coop Supermarkt Pratteln Grüssen,4133,1450.0,,,Pratteln
Pregassona,46.01995659,8.96942482,08:00 - 19:00,Coop Supermercato Lugano Pregassona,6963,,,,Canobbio
Prilly,46.52463356,6.60257706,07:00 - 19:00,Coop Supermarché Prilly Malley,1008,1458.0,,,Prilly
Prilly,46.53420453,6.60611812,08:00 - 19:00,Coop Supermarché Prilly Centre,1008,1458.0,,,Prilly
Prilly,46.52940161,6.60135629,07:30 - 19:00,Coop Supermarché Prilly Business Parc,1008,1458.0,,,Prilly
Pully,46.51058193,6.6582108,07:30 - 19:00,Coop Supermarché Pully,1009,1461.0,,,Pully
Rapperswil,47.22754876,8.82202588,07:00 - 20:00,Coop Supermarkt Rapperswil,8640,,,,Rapperswil-Jona
Rapperswil,47.22532225,8.81790093,06:00 - 22:00,Coop Supermarkt Rapperswil Bahnhof,8640,,,,Rapperswil-Jona
Räterschen,47.49877814,8.7976396,07:30 - 19:00,Coop Supermarkt Räterschen,8352,,,,Elsau
Reconvilier,47.23074956,7.21250982,08:00 - 19:00,Coop Supermarché Reconvilier,2732,1482.0,,,Reconvilier
Regensdorf,47.43138157,8.4690209,08:00 - 20:00,Coop Supermarkt Regensdorf Zentrum,8105,1484.0,,,Regensdorf
Regensdorf,47.43739171,8.47489096,08:00 - 21:00,Coop Supermarkt Regensdorf Rägi Märt,8105,1484.0,,,Regensdorf
Reichenbach,46.6251979,7.69057041,08:00 - 18:30,Coop Supermarkt Reichenbach,3713,,,,Reichenbach im Kandertal
Reichenburg,47.16739813,8.98003533,08:00 - 19:00,Coop Supermarkt Reichenburg,8864,1487.0,,,Reichenburg
Reiden,47.24810328,7.97062626,07:30 - 19:00,Coop Supermarkt Reiden,6260,1488.0,,,Reiden
Reinach,47.506141,7.59982085,08:00 - 19:00,Coop Supermarkt Reinach Surbaum,4153,,,,Reinach (BL)
Reinach,47.49376507,7.59332077,08:00 - 20:00,Coop Supermarkt Reinach BL,4153,,,,Reinach (BL)
Reinach,47.25163499,8.18245462,07:30 - 19:00,Coop Supermarkt Reinach AG,5734,,,,Reinach (AG)
Renens,46.53832361,6.58174145,08:00 - 19:00,Coop Supermarché Renens Centre,1020,,,,Renens (VD)
Rennaz,46.38191562,6.92089729,08:00 - 19:30,Coop Supermarché Rennaz Provisoire,1847,1499.0,,,Rennaz
Rheineck,47.468356729999996,9.58965642,06:30 - 19:00,Coop Supermarkt Rheineck,9424,1504.0,,,Rheineck
Rheinfelden,47.55154067,7.78538904,08:00 - 20:00,Coop Supermarkt Rheinfelden Salmen-Center,4310,1505.0,,,Rheinfelden
Riazzino,46.17495694,8.89160337,06:00 - 22:00,Coop Supermercato Riazzino PY,6595,,,,Lavertezzo
Richterswil,47.20847638,8.70567811,07:00 - 20:00,Coop Supermarkt Richterswil Poststrasse,8805,1508.0,,,Richterswil
Richterswil,47.20372174,8.68385166,08:00 - 20:00,Coop Supermarkt Richterswil Obermatt,8805,1508.0,,,Richterswil
Rickenbach bei Wil,47.44704549,9.0530358,08:00 - 20:00,Coop Supermarkt Rickenbach,9532,,,,Rickenbach (TG)
Riddes,46.17238352,7.22139129,07:30 - 18:30,Coop Supermarché Riddes,1908,1514.0,,,Riddes
Riederalp,46.37834744,8.03337137,08:00 - 12:00,Coop Supermarkt Riederalp,3987,1517.0,,,Riederalp
Riehen,47.57080181,7.63290902,07:00 - 20:00,Coop Supermarkt Riehen Rauracher,4125,1519.0,,,Riehen
Riehen,47.58505295,7.65060106,07:00 - 19:00,Coop Supermarkt Riehen Schmiedgasse,4125,1519.0,,,Riehen
Riggisberg,46.80965221,7.47875192,07:30 - 19:00,Coop Supermarkt Riggisberg,3132,1522.0,,,Riggisberg
Roggwil,47.24209432,7.82126245,07:00 - 19:00,Coop Supermarkt Roggwil,4914,,,,Roggwil (BE)
Rohr,47.40191818,8.08084757,07:30 - 20:00,Coop Supermarkt Rohr,5032,,,,Biberstein
Rolle,46.45786028,6.33864805,07:30 - 19:00,Coop Supermarché Rolle,1180,1539.0,,,Rolle
Romanshorn,47.56354355,9.37723855,08:00 - 20:00,Coop Supermarkt Romanshorn,8590,1543.0,,,Romanshorn
Romont,46.69292945,6.9139599,08:00 - 19:00,Coop Supermarché Romont,1680,,,,Romont (FR)
Root,47.11796672,8.39194588,07:30 - 19:00,Coop Supermarkt Root,6037,1550.0,,,Root
Rorschach,47.4780131,9.49097944,07:30 - 19:00,Coop Supermarkt Rorschach,9400,1553.0,,,Rorschach
Rothenburg,47.09302941,8.27067795,07:30 - 19:00,Coop Supermarkt Rothenburg,6023,1562.0,,,Rothenburg
Rothrist,47.30598321,7.88851375,07:30 - 20:00,Coop Supermarkt Rothrist,4852,1565.0,,,Rothrist
Rotkreuz,47.14066475,8.42683832,07:30 - 19:00,Coop Supermarkt Rotkreuz,6343,,,,Risch
Roveredo,46.23743294,9.12729376,08:00 - 19:00,Coop Supermercato Roveredo GR,6535,,,,Roveredo (GR)
Rüegsau,47.01795625,7.660413,07:30 - 19:00,Coop Supermarkt Hasle Rüegsau,3415,1577.0,,,Hasle bei Burgdorf
Rüfenacht,46.92985307,7.53171953,08:00 - 19:00,Coop Supermarkt Rüfenacht,3075,,,,Allmendingen
Rümlang,47.46318463,8.52630005,08:00 - 20:00,Coop Supermarkt Rümlang Riedmatt,8153,1582.0,,,Rümlang
Rüschegg,46.78099583,7.40816372,08:00 - 12:00 14:00 - 18:30,Coop Supermarkt Rüschegg Heubach,3154,1586.0,,,Rüschegg
Rüschlikon,47.3076713,8.55423462,07:00 - 20:00,Coop Supermarkt Rüschlikon,8803,1587.0,,,Rüschlikon
Ruswil,47.08378731,8.12711931,08:00 - 19:00,Coop Supermarkt Ruswil,6017,1590.0,,,Ruswil
Rüti,47.25733665,8.85003067,07:30 - 20:00,Coop Supermarkt Rüti,8630,,,,Rüti (ZH)
Saas Fee,46.10767066,7.92622797,08:00 - 12:15 14:15 - 18:30,Coop Supermarkt Saas Fee Dorfstrasse,3906,,,,Saas-Fee
Saas Grund,46.12418441,7.9370749,08:00 - 12:00 14:00 - 18:30,Coop Supermarkt Saas Grund,3910,,,,Saas-Grund
Saas-Fee,46.10913516,7.92871133,08:00 - 18:30,Coop Supermarkt Saas Fee Postplatz,3906,1601.0,,,Saas-Fee
Saignelégier,47.25681047,6.99912517,08:00 - 18:30,Coop Supermarché Saignelégier,2350,1609.0,,,Saignelégier
Saint-Aubin,46.89598208,6.77594022,07:30 - 19:00,Coop Supermarché Saint-Aubin,2024,,,,Provence
Saint-Blaise,47.01347432,6.98474571,07:30 - 19:00,Coop Supermarché Saint-Blaise,2072,1613.0,,,Saint-Blaise
Saint-Imier,47.15349083,7.00000112,08:00 - 19:00,Coop Supermarché Saint-Imier,2610,1618.0,,,Saint-Imier
Saint-Maurice,46.21773243,7.00634579,07:45 - 18:30,Coop Supermarché Saint-Maurice,1890,1623.0,,,Saint-Maurice
Saint-Prex,46.48232753,6.4569267,07:30 - 19:00,Coop Supermarché Saint-Prex,1162,1625.0,,,Saint-Prex
Saint-Ursanne,47.36553045,7.1548264,07:30 - 18:30,Coop Supermarché Saint-Ursanne,2882,,,,Clos du Doubs
Sainte-Croix,46.82293892,6.50148187,08:00 - 18:30,Coop Supermarché Sainte-Croix,1450,1628.0,,,Sainte-Croix
Samedan,46.53219828,9.87060418,08:00 - 19:00,Coop Supermarkt Samedan,7503,1634.0,,,Samedan
San Antonino,46.15454112,8.9659427,08:00 - 19:00,Coop Supermercato S. Antonino,6592,,,,Sant'Antonino
Sargans,47.04739648,9.44072742,07:00 - 19:00,Coop Supermarkt Sargans,7320,1639.0,,,Sargans
Sarnen,46.8973071,8.25121789,08:00 - 20:00,Coop Supermarkt Sarnen,6060,1641.0,,,Sarnen
Satigny,46.20957226,6.03618104,07:30 - 19:00,Coop Supermarché Satigny,1242,1642.0,,,Satigny
Savigny,46.53812017,6.73110463,07:30 - 19:00,Coop Supermarché Savigny,1073,1649.0,,,Savigny
Saxon,46.14936393,7.17514674,07:00 - 18:30,Coop Supermarché Saxon,1907,1652.0,,,Saxon
Schaan FL,47.17536236,9.50984688,07:00 - 19:00,Coop Supermarkt Schaan,9494,,,,Buchs (SG)
Schaffhausen,47.69636324,8.63361932,07:30 - 20:00,Coop Supermarkt Schaffhausen Fronwagplatz,8200,1653.0,,,Schaffhausen
Schaffhausen,47.70393027,8.61570886,07:30 - 19:00,Coop Supermarkt Schaffhausen Riet,8200,1653.0,,,Schaffhausen
Schaffhausen,47.72137632,8.66554709,08:30 - 20:00,Coop Supermarkt Schaffhausen Herblingen,8207,1653.0,,,Stetten (SH)
Schaffhausen,47.70304045,8.64545542,07:30 - 19:00,Coop Supermarkt Schaffhausen Gruben,8200,1653.0,,,Feuerthalen
Schaffhausen,47.6963001,8.63451051,08:30 - 19:00,Coop City Schaffhausen,8200,1653.0,,,Schaffhausen
Schattdorf,46.8656074,8.65468369,07:30 - 18:30,Coop Supermarkt Schattdorf,6467,1658.0,,,Schattdorf
Schattdorf,46.85540846,8.645037,08:00 - 18:30,Coop Supermarkt Schattdorf Tellpark,6467,1658.0,,,Schattdorf
Schenkon,47.17817041,8.12640727,08:00 - 19:00,Coop Supermarkt Schenkon,6214,1661.0,,,Schenkon
Schiers,46.96967769,9.68415297,07:30 - 20:00,Coop Supermarkt Schiers,7220,1663.0,,,Schiers
Schleitheim,47.74670004,8.48064282,07:30 - 19:00,Coop Supermarkt Schleitheim,8226,1669.0,,,Schleitheim
Schlieren,47.39729752,8.44888778,08:00 - 20:00,Coop Supermarkt Schlieren Lilie,8952,1671.0,,,Schlieren
Schlieren,47.40025288,8.44108784,07:30 - 20:00,Coop Supermarkt Schlieren Rietpark,8952,1671.0,,,Schlieren
Schliern,46.90992735,7.4150463,08:00 - 19:00,Coop Supermarkt Köniz Schliern,3098,,,,Köniz
Schmitten,46.85476656,7.24957642,07:00 - 19:00,Coop Supermarkt Schmitten,3185,,,,Schmitten (FR)
