Gemeindename,place_latitude,place_longitude,place_openingHours,place_title,place_zipcode,Match,Gemeinde nach LONGLAT,Unnamed: 8,GMDNAME
Bättwil,47.48923746,7.5003961199999996,07:30 - 18:30,Coop Supermarkt Bättwil-Flüh,4112,129.0,,,Bättwil
Bellach,47.21265387,7.49659526,08:00 - 18:30,Coop Supermarkt Bellach,4512,144.0,,,Bellach
Bellinzona,46.20224002,9.03082765,08:00 - 19:00,Coop Supermercato Bellinzona Nord,6500,147.0,,,Bellinzona
Bellinzona,46.18375662,9.01239814,07:00 - 22:00,Coop Supermercato Bellinzona PY,6500,147.0,,,Bellinzona
Bellinzona,46.1947129,9.02480311,07:30 - 19:00,Coop Supermercato Bellinzona Centro,6500,147.0,,,Bellinzona
Bellinzona,46.19491796,9.02877377,06:00 - 21:00,Coop Supermercato Bellinzona Stazione,6500,147.0,,,Bellinzona
Bellmund,47.10961562,7.24671126,07:00 - 19:00,Coop Supermarkt Bellmund,2564,148.0,,,Bellmund
Belp,46.89319267,7.49766988,08:00 - 19:00,Coop Supermarkt Belp,3123,153.0,,,Belp
Berikon,47.36171088,8.3677232,08:00 - 20:00,Coop Supermarkt Berikon,8965,164.0,,,Widen
Beringen,47.69619746,8.57575607,07:30 - 20:00,Coop Supermarkt Beringen,8222,165.0,,,Beringen
Bern,46.95927719,7.45500351,07:30 - 20:00,Coop Supermarkt Bern Breitenrain,3014,168.0,,,Bern
Bern,46.94109845,7.43147577,07:00 - 20:00,Coop Supermarkt Bern Eigerplatz,3007,168.0,,,Bern
Bern,46.93947953,7.43697878,07:00 - 19:00,Coop Supermarkt Bern Sulgenbach,3007,168.0,,,Bern
Bern,46.9377463,7.47644332,07:00 - 19:00,Coop Supermarkt Bern Egghölzli,3015,168.0,,,Muri bei Bern
Bern,46.94836686,7.44337542,07:00 - 19:00,Coop Supermarkt Bern Spitalgasse,3011,168.0,,,Bern
Bern,46.94540258,7.47275753,08:00 - 19:00,Coop Supermarkt Bern Freudenberg,3006,168.0,,,Ostermundigen
Bern,46.9538985,7.42871546,08:00 - 20:00,Coop Supermarkt Bern Muesmatt,3012,168.0,,,Bern
Bern,46.95637246,7.43202561,08:00 - 19:00,Coop Supermarkt Bern Zähringerstrasse,3012,168.0,,,Bern
Bern,46.9507141,7.39218493,08:00 - 19:00,Coop Supermarkt Bern Bethlehem,3027,168.0,,,Köniz
Bern,46.94188961,7.39185101,08:00 - 19:00,Coop Supermarkt Bern Bümpliz,3018,168.0,,,Köniz
Bern,46.96190201,7.4651473,08:00 - 20:00,Coop Supermarkt Bern Wankdorf Center,3014,168.0,,,Ittigen
Bern,46.94385556,7.40616568,07:00 - 20:00,Coop Supermarkt Bern Europaplatz,3008,168.0,,,Köniz
Bern,46.94857496,7.37708087,07:00 - 19:00,Coop Supermarkt Bern Gäbelbach,3027,168.0,,,Wohlen bei Bern
Bern,46.94893362,7.43992086,06:00 - 23:00,Coop Supermarkt Bern Bahnhof,3011,168.0,,,Bern
Bern,46.94543377,7.42677302,07:00 - 20:00,Coop Supermarkt Bern Brunnmatt,3007,168.0,,,Bern
Bern,46.94762929,7.44147076,06:30 - 20:00,Coop Supermarkt Bern Schauplatzgasse,3011,168.0,,,Bern
Bern,46.95345676,7.45825956,07:30 - 20:00,Coop Supermarkt Bern Schönburg,3013,168.0,,,Bern
Bern,46.95354792,7.43169753,07:00 - 20:00,Coop Supermarkt Bern Länggasse,3012,168.0,,,Bern
Bern,46.94787216,7.43780607,06:00 - 20:00,Coop Supermarkt Bern Postparc,3008,168.0,,,Bern
Bern,46.96937732,7.46375802,07:00 - 19:00,Coop Supermarkt Bern Wankdorf TRIO,3014,168.0,,,Ittigen
Bern,46.94800694,7.44600242,07:00 - 19:00,Coop Supermarkt Bern Marktgasse,3011,168.0,,,Bern
Bernex,46.17415499,6.0709467,08:00 - 19:00,Coop Supermarché Bernex,1233,170.0,,,Bernex
Beromünster,47.20805594,8.19050758,07:30 - 19:00,Coop Supermarkt Beromünster,6215,172.0,,,Beromünster
Bettlach,47.20042568,7.4246169,07:00 - 18:30,Coop Supermarkt Bettlach,2544,177.0,,,Bettlach
Bettmeralp,46.38779122,8.05870848,08:00 - 12:00,Coop Supermarkt Bettmeralp,3992,178.0,,,Bettmeralp
Bevaix,46.92895694,6.81227397,07:30 - 19:00,Coop Supermarché Bevaix,2022,,,,La Grande Béroche
Bévilard-Malleray,47.2378943,7.27809069,07:30 - 19:00,Coop Supermarché Bévilard-Malleray,2735,,,,Valbirse
Bex,46.25038781,7.0136326,07:30 - 19:00,Coop Supermarché Bex,1880,183.0,,,Bex
Biasca,46.35808002,8.97199311,08:00 - 19:00,Coop Supermercato Biasca,6710,184.0,,,Biasca
Biberist,47.18187519,7.56325225,08:00 - 18:30,Coop Supermarkt Biberist,4562,185.0,,,Biberist
Biel,47.15474389,7.27621809,07:00 - 19:00,Coop Supermarkt Biel Bözingen,2504,,,,Biel/Bienne
Biel,47.14342288,7.27227123,07:00 - 19:00,Coop Supermarkt Biel Mett,2504,,,,Brügg
Biel,47.12670256,7.25547991,07:00 - 19:00,Coop Supermarkt Biel Moserstrasse,2503,,,,Port
Biel,47.13862497,7.24704196,07:00 - 19:00,Coop Supermarkt Biel Nidaugasse,2502,,,,Biel/Bienne
Biel,47.13024513,7.24376375,08:00 - 20:00,Coop Supermarkt Biel Bahnhof,2503,,,,Nidau
Biel,47.16201778,7.29411851,08:00 - 19:00,Coop Supermarkt Biel Boujean,2504,,,,Orpund
Biel,47.13298724,7.24297608,06:00 - 22:00,Coop Supermarkt Biel SBB,2502,,,,Nidau
Biglen,46.92475993,7.628254,08:00 - 19:00,Coop Supermarkt Biglen,3507,192.0,,,Biglen
Binningen,47.53992959,7.57274804,07:30 - 19:00,Coop Supermarkt Binningen,4102,195.0,,,Binningen
Bioggio,46.01580392,8.91251364,08:00 - 19:00,Coop Supermercato Bioggio,6934,196.0,,,Bioggio
Birmensdorf,47.35381423,8.43661346,07:30 - 20:00,Coop Supermarkt Birmensdorf,8903,,,,Birmensdorf (ZH)
Birsfelden,47.55287692,7.62180347,08:00 - 20:00,Coop Supermarkt Birsfelden,4127,203.0,,,Birsfelden
Bischofszell,47.49049382,9.23791454,08:00 - 20:00,Coop Supermarkt Bischofszell,9220,205.0,,,Bischofszell
Bissone,45.95389659,8.96556331,07:00 - 22:00,Coop Supermercato Bissone PY,6816,206.0,,,Bissone
Blonay,46.46659457,6.89432309,07:30 - 19:00,Coop Supermarché Blonay,1807,,,,Blonay - Saint-Légier
Bolligen,46.97392587,7.49657534,08:00 - 19:00,Coop Supermarkt Bolligen,3065,222.0,,,Bolligen
Bonaduz,46.81197789,9.4012803,08:00 - 20:00,Coop Supermarkt Bonaduz,7402,224.0,,,Bonaduz
Boncourt,47.49514742,7.01473341,07:30 - 18:30,Coop Supermarché Boncourt,2926,225.0,,,Boncourt
Bonstetten,47.32418271,8.46848342,08:00 - 20:00,Coop Supermarkt Bonstetten,8906,230.0,,,Bonstetten
Bosco Gurin,46.31630424,8.49251322,09:00 - 12:00 15:00 - 18:00,Coop Supermercato Bosco Gurin,6685,,,,Bosco/Gurin
Bottmingen,47.52693326,7.57290142,07:30 - 20:00,Coop Supermarkt Bottmingen,4103,242.0,,,Bottmingen
Boudry,46.94988147,6.83761941,07:30 - 19:00,Coop Supermarché Boudry,2017,244.0,,,Boudry
Breganzona,46.01281614,8.93301618,08:00 - 19:00,Coop Supermercato Lugano Breganzona,6932,,,,Massagno
Breitenbach,47.40592372,7.54049725,08:00 - 18:30,Coop Supermarkt Breitenbach,4226,260.0,,,Breitenbach
Bremgarten,47.35165422,8.34858118,08:00 - 20:00,Coop Supermarkt Bremgarten,5620,,,,Bremgarten (AG)
Brienz,46.7546159,8.03698934,08:00 - 19:00,Coop Supermarkt Brienz,3855,,,,Brienz (BE)
Brig,46.31511626,7.98681169,07:30 - 18:30,Coop Supermarkt Brig,3900,,,,Brig-Glis
Brig,46.318688,7.98862647,06:00 - 18:30,Coop Supermarkt Brig Zentrum Post,3900,,,,Brig-Glis
Brittnau,47.26039925,7.94670141,08:00 - 19:00,Coop Supermarkt Brittnau,4805,274.0,,,Brittnau
Broc,46.60480891,7.11102981,07:30 - 19:00,Coop Supermarché Broc,1636,275.0,,,Broc
Brugg,47.48227256,8.20927052,08:00 - 20:00,Coop Supermarkt Brugg Neumarkt,5200,277.0,,,Brugg
Brunnen,46.99661767,8.60752933,07:30 - 20:00,Coop Supermarkt Brunnen,6440,,,,Ingenbohl
Bubendorf,47.45380268,7.73678891,08:00 - 20:00,Coop Supermarkt Bubendorf,4416,285.0,,,Bubendorf
Bubikon,47.27012896,8.82334085,06:00 - 21:00,Coop Supermarkt Bubikon,8608,286.0,,,Bubikon
Buchs,47.38972605,8.07025039,07:30 - 20:00,Coop Supermarkt Buchs AG,5033,,,,Buchs (AG)
Buchs,47.45773682,8.43825873,07:30 - 20:00,Coop Supermarkt Buchs ZH,8107,,,,Buchs (ZH)
Buchs,47.16628939,9.47322583,07:30 - 19:00,Coop Supermarkt Buchs SG,9470,,,,Buchs (SG)
Bülach,47.52592969,8.53615066,08:00 - 20:00,Coop Supermarkt Bülach im Guss,8180,301.0,,,Bülach
Bulle,46.6193852,7.05737339,07:30 - 19:00,Coop Supermarché Bulle Ville,1630,302.0,,,Bulle
Bulle,46.62501634,7.0600625,07:30 - 19:00,Coop Supermarché Bulle Le Caro,1630,302.0,,,Bulle
