Gemeinde,lat,long,name,GMDNAME
Dulliken,47.35343,7.94697,Denner Express,Dulliken
Ebikon,47.0812912,8.3410044,Denner Filiale,Ebikon
Ebikon,47.09356,8.35887,Denner Filiale,Buchrain
Echallens,46.6390305,6.6357865,Denner Express,Echallens
Ecublens (VD),46.53485,6.56379,Denner Filiale,Ecublens (VD)
Ecublens (VD),46.52288,6.5640392,Denner Express,Ecublens (VD)
Effretikon,47.4239082,8.6911373,Denner Filiale,Illnau-Effretikon
Effretikon,47.4285622,8.6859837,Denner Filiale,Illnau-Effretikon
Egerkingen,47.3169022,7.8035922,Denner Filiale,Egerkingen
Egg bei Zürich,47.30266,8.6906,Denner Filiale,Egg
Eglisau,47.57914,8.51391,Denner Filiale,Eglisau
Eglisau,47.5686493,8.5233297,Denner Filiale,Eglisau
Einsiedeln,47.13108,8.74361,Denner Filiale,Einsiedeln
Einsiedeln,47.1287098,8.7459472,Denner Filiale,Einsiedeln
Elgg,47.49795,8.86206,Denner Partner,Elgg
Embrach,47.5125008,8.5933981,Denner Filiale,Embrach
Emmenbrücke,47.0776901,8.2749586,Denner Filiale,Emmen
Emmenbrücke,47.0707855,8.2841597,Denner Filiale,Emmen
Emmenbrücke,47.0754509,8.2768993,Denner Filiale,Emmen
Emmenbrücke,47.07297,8.29226,Denner Bibite,Emmen
Endingen,47.53724,8.2907,Denner Partner,Endingen
Entlebuch,46.991361,8.065358,Denner Satellit,Entlebuch
Epalinges,46.5481567,6.6706338,Denner Filiale,Epalinges
Ependes (FR),46.7540932,7.1460767,Denner Partner,Bois-d'Amont
Erlenbach (ZH),47.3069916,8.5904722,Denner Filiale,Erlenbach (ZH)
Erlinsbach,47.39646,8.01425,Denner Express,Erlinsbach (AG)
Erstfeld,46.8213463,8.6505833,Denner Partner,Erstfeld
Eschen,47.2096476,9.5192614,Denner Satellit,Sennwald
Eschenbach (LU),47.22224,8.26393,Denner Partner,Hitzkirch
Eschenbach (SG),47.24038,8.92302,Denner Partner,Eschenbach (SG)
Escholzmatt,46.9164391,7.9356885,Denner Satellit,Escholzmatt-Marbach
Estavayer-le-Lac,46.8499184,6.8495197,Denner Satellit,Estavayer
Etoy,46.47393,6.42586,Denner Filiale,Buchillon
Ettingen,47.4843597,7.5473137,Denner Express,Ettingen
Faido,46.47655,8.79929,Denner Satellit,Faido
Fällanden,47.3692503,8.6441186,Denner Express,Fällanden
Farvagny,46.72314,7.06903,Denner Partner,Gibloux
Fehraltorf,47.38556,8.75117,Denner Filiale,Fehraltorf
Feldmeilen,47.277295,8.617626,Denner Filiale,Herrliberg
Fislisbach,47.4361992,8.2908001,Denner Filiale,Fislisbach
Flamatt,46.8901901,7.3155823,Denner Filiale,Neuenegg
Flawil,47.41296,9.186,Denner Filiale,Flawil
Fleurier,46.9032326,6.5887971,Denner Satellit,Val-de-Travers
Flims Dorf,46.83692,9.28682,Denner Express,Flims
Flühli (LU),46.8835716,8.0169516,Denner Satellit,Flühli
Frauenfeld,47.55739,8.89631,Denner Filiale,Frauenfeld
Frauenfeld,47.5526199,8.8841486,Denner Filiale,Frauenfeld
Frauenfeld,47.5567409,8.8813109,Denner Filiale,Frauenfeld
Frauenfeld,47.5638618,8.908164,Denner Filiale,Frauenfeld
Freienbach,47.20359,8.76604,Denner Filiale,Freienbach
Fribourg,46.79483,7.14245,Denner Satellit,Villars-sur-Glâne
Fribourg,46.8106689,7.1477065,Denner Filiale,Fribourg
Fribourg,46.7998085,7.1522465,Denner Filiale,Fribourg
Fribourg,46.8091545,7.1751242,Denner Filiale,Pierrafortscha
Fribourg,46.7966385,7.1546474,Denner Filiale,Fribourg
Fribourg,46.80005,7.14496,Denner Express,Fribourg
Fribourg,46.804714,7.153732,Denner Express,Fribourg
Frick,47.50724,8.0233,Denner Filiale,Frick
Frutigen,46.5863147,7.6473548,Denner Filiale,Frutigen
Füllinsdorf,47.5025346,7.7273124,Denner Filiale,Füllinsdorf
Fully,46.1366961,7.1192905,Denner Filiale,Fully
Gals,47.0198,7.04164,Denner Filiale,Gals
Gampel,46.310149,7.744478,Denner Partner,Steg-Hohtenn
Gansingen,47.5431595,8.1343746,Denner Satellit,Gansingen
Gebenstorf,47.48999,8.24507,Denner Filiale,Turgi
Gelterkinden,47.4651375,7.852355,Denner Filiale,Gelterkinden
Genève,46.204628,6.1231875,Denner Filiale,Lancy
Genève,46.2025146,6.1641836,Denner Express,Genève
Genève,46.21772,6.1412435,Denner Filiale,Genève
Genève,46.200662,6.1309578,Denner Filiale,Genève
Genève,46.2042809,6.1572356,Denner Filiale,Genève
Genève,46.1940536,6.1660533,Denner Express,Chêne-Bougeries
Genève,46.2082291,6.124228,Denner Filiale,Lancy
Genève,46.215168,6.1343894,Denner Filiale,Genève
Genève,46.2066452,6.1304343,Denner Express,Genève
Genève,46.2114487,6.1450276,Denner Filiale,Genève
Genève,46.21109,6.14974,Denner Filiale,Genève
Genève,46.21004,6.12896,Denner Express,Genève
Genève,46.2189674,6.1130161,Denner Filiale,Le Grand-Saconnex
Genève,46.1930313,6.1436391,Denner Filiale,Carouge (GE)
Genève,46.1927681,6.1447463,Denner Filiale,Carouge (GE)
Genève,46.200183,6.139212,Denner Express,Genève
Gerlafingen,47.170714,7.57574,Denner Partner,Gerlafingen
Geroldswil,47.42203,8.40858,Denner Express,Geroldswil
Gerolfingen,47.075353,7.201927,Denner Partner,Täuffelen
Gimel,46.50906,6.30653,Denner Express,Gimel
Giornico,46.401719,8.87735,Denner Satellit,Giornico
Giubiasco,46.1764048,9.0143171,Denner Filiale,Bellinzona
Gland,46.4201317,6.2632279,Denner Filiale,Gland
Gland,46.416,6.27932,Denner Filiale,Gland
Glarus,47.04114,9.070648,Denner Filiale,Glarus
Glattbrugg,47.4362373,8.5683584,Denner Filiale,Opfikon
Glattbrugg,47.42325,8.55869,Denner Filiale,Opfikon
Glattbrugg,47.43083,8.55917,Denner Express,Opfikon
Glis,46.3088,7.97016,Denner Filiale,Brig-Glis
Goldach,47.47341,9.4656,Denner Express,Goldach
Goldau,47.050514,8.548734,Denner Partner,Arth
Gommiswald,47.230964,9.02308,Denner Satellit,Gommiswald
Gossau (SG),47.416008,9.2670383,Denner Filiale,Gossau (SG)
Gossau (ZH),47.305868,8.759003,Denner Filiale,Gossau (ZH)
Grabs,47.17732,9.44917,Denner Satellit,Grabs
Grächen,46.195189,7.838716,Denner Satellit,Grächen
Grancia,45.97206,8.92761,Denner Filiale,Grancia
Grand-Lancy,46.17321,6.12274,Denner Express,Plan-les-Ouates
Grand-Saconnex,46.23469,6.12398,Denner Filiale,Le Grand-Saconnex
Granges (VS),46.2568588,7.4683032,Denner Express,Grône
Granges-Marnand,46.7576,6.89937,Denner Partner,Valbroye
Granges-Paccot,46.8294704,7.1455253,Denner Filiale,Granges-Paccot
Gränichen,47.3599052,8.0982819,Denner Filiale,Gränichen
Greifensee,47.36819,8.67984,Denner Express,Greifensee
Grenchen,47.1937675,7.3966522,Denner Filiale,Grenchen
Grenchen,47.1887512,7.3856654,Denner Filiale,Grenchen
Gretzenbach,47.3582649,7.9901371,Denner Filiale,Gretzenbach
Grolley,46.83216,7.06528,Denner Partner,Grolley
Grono,46.24524,9.14088,Denner Satellit,Grono
Gstaad,46.47832,7.28245,Denner Filiale,Saanen
Gümligen,46.9327953,7.5043041,Denner Filiale,Muri bei Bern
Haag (Rheintal),47.2095985,9.4899855,Denner Filiale,Gams
Hägendorf,47.3339722,7.8422364,Denner Partner,Hägendorf
Hasle bei Burgdorf,47.0133334,7.6597719,Denner Filiale,Hasle bei Burgdorf
Heimberg,46.78205,7.60984,Denner Partner,Heimberg
Herbriggen,46.13464,7.79187,Denner Express,Randa
Herisau,47.387146,9.2766724,Denner Filiale,Herisau
Herzogenbuchsee,47.1866177,7.7039734,Denner Filiale,Herzogenbuchsee
Hilterfingen,46.73558,7.65833,Denner Bibite,Oberhofen am Thunersee
Hinterkappelen,46.9667971,7.3766506,Denner Filiale,Wohlen bei Bern
Hinwil,47.3055992,8.8235092,Denner Filiale,Hinwil
Hochdorf,47.1661453,8.291338,Denner Filiale,Hochdorf
Holderbank (AG),47.42793,8.16887,Denner Partner,Holderbank (AG)
Holderbank (SO),47.3328209,7.7539153,Denner Satellit,Holderbank (SO)
Hombrechtikon,47.25227,8.76823,Denner Partner,Hombrechtikon
Horgen,47.2599525,8.5980597,Denner Filiale,Horgen
Horgen,47.253504,8.619107,Denner Filiale,Horgen
Horn,47.4981012,9.452398,Denner Partner,Horn
Horw,47.0187569,8.3098154,Denner Filiale,Horw
Hünibach,46.7451134,7.6442161,Denner Express,Hilterfingen
Hunzenschwil,47.38634,8.12337,Denner Partner,Hunzenschwil
Huttwil,47.1138687,7.8479328,Denner Filiale,Huttwil
Ibach,47.0156975,8.6459961,Denner Filiale,Schwyz
Ilanz,46.77462,9.20765,Denner Express,Ilanz/Glion
im Emmental,46.9391747,7.787189,Denner Express,Langnau im Emmental
Interlaken,46.6818695,7.8521399,Denner Filiale,Interlaken
Interlaken,46.6884521,7.8767719,Denner Filiale,Matten bei Interlaken
Ittigen,46.9738503,7.4846587,Denner Filiale,Ittigen
Jona,47.2315369,8.837491,Denner Filiale,Rapperswil-Jona
Kaiseraugst,47.5349955,7.7301577,Denner Satellit,Kaiseraugst
Kallnach,47.01802,7.23357,Denner Express,Kallnach
Kappel am Albis,47.22979,8.52729,Denner Partner,Kappel am Albis
Kilchberg (ZH),47.31718,8.53908,Denner Filiale,Kilchberg (ZH)
Kirchberg (BE),47.0889999,7.58097,Denner Filiale,Kirchberg (BE)
Kirchberg (SG),47.4331512,9.0609608,Denner Filiale,Rickenbach (TG)
Kleinandelfingen,47.60506,8.68688,Denner Partner,Kleinandelfingen
Kloten,47.4510002,8.5820389,Denner Express,Kloten
Kloten,47.4529877,8.5827713,Denner Filiale,Kloten
Kölliken,47.33696,8.0244375,Denner Satellit,Kölliken
Köniz,46.92313,7.41403,Denner Filiale,Köniz
Köniz,46.92477,7.41693,Denner Filiale,Köniz
Konolfingen,46.8803139,7.6222582,Denner Filiale,Konolfingen
Konolfingen,46.8769,7.62005,Denner Filiale,Konolfingen
Kreuzlingen,47.6418037,9.1960135,Denner Filiale,Bottighofen
Kreuzlingen,47.6556,9.16319,Denner Filiale,Kreuzlingen
Kreuzlingen,47.64801,9.1755,Denner Filiale,Kreuzlingen
Kriens,47.0339493,8.2828585,Denner Filiale,Kriens
Kriens,47.0341454,8.269412,Denner Partner,Kriens
Kriens,47.0356832,8.290669,Denner Express,Kriens
Küblis,46.91365,9.77451,Denner Partner,Küblis
Küssnacht am Rigi,47.08352,8.4418,Denner Partner,Küssnacht (SZ)
La Chaux-de-Fonds,47.1046562,6.8435235,Denner Satellit,La Chaux-de-Fonds
La Chaux-de-Fonds,47.0991859,6.826045,Denner Filiale,La Chaux-de-Fonds
La Chaux-de-Fonds,47.0902672,6.8044815,Denner Filiale,La Chaux-de-Fonds
La Chaux-de-Fonds,47.1002693,6.8271852,Denner Filiale,La Chaux-de-Fonds
La Chaux-de-Fonds,47.11189,6.83482,Denner Filiale,La Chaux-de-Fonds
La Neuveville,47.061878,7.0885912,Denner Bibite,La Neuveville
La Tour-de-Peilz,46.4578781,6.856822,Denner Filiale,La Tour-de-Peilz
