Gemeinde,lat,long,name
 Bassecourt,47.334962,7.244131,Denner Partner
 Liestal,47.4829369,7.7343044,Denner Satellit
 St-Prex,46.4816742,6.4568009,Denner Filiale
 Triesenberg,47.1184044,9.5431471,Denner Satellit
 Oftringen,47.3164749,7.9397974,Denner Filiale
 Lausanne,46.5269852,6.6512017,Denner Express
 Basel,47.5492516,7.60745,Denner Filiale
 Wolhusen,47.05628,8.07046,Denner Filiale
 Avry-Centre FR,46.7877426,7.0785651,Denner Filiale
 Kriens,47.0341454,8.269412,Denner Partner
 Genève,46.200662,6.1309578,Denner Filiale
 Eschen,47.2096476,9.5192614,Denner Satellit
 Weinfelden,47.5677799,9.11101,Denner Filiale
 Lausen,47.4721317,7.7593685,Denner Express
 Bilten,47.1506996,9.0204,Denner Partner
 Münchenstein,47.52339,7.61655,Denner Filiale
 Zollikofen,46.9933899,7.45701,Denner Filiale
 Etoy,46.47393,6.42586,Denner Filiale
 Wohlen AG,47.3502541,8.2709007,Denner Filiale
 Trimmis,46.901009,9.561306,Denner Satellit
 Kloten,47.4529877,8.5827713,Denner Filiale
 Chiasso,45.8348194,9.0197138,Denner Satellit
 Porrentruy,47.415226,7.0715389,Denner Filiale
 Lausanne,46.5159683,6.6265769,Denner Filiale
 Kaiseraugst,47.5349955,7.7301577,Denner Satellit
 St. Gallen,47.4354858,9.3865662,Denner Filiale
 Worb,46.9266281,7.565063,Denner Filiale
 Gossau SG,47.416008,9.2670383,Denner Filiale
 Schötz,47.17006,7.991062,Denner Partner
 Rümlang,47.461834,8.5257816,Denner Filiale
 Triesen,47.10868,9.525441,Denner Filiale
 Trimbach,47.3668701,7.9098312,Denner Filiale
 La Tour-de-Peilz,46.4578781,6.856822,Denner Filiale
 Geroldswil,47.42203,8.40858,Denner Express
 Lyss,47.0784999,7.30426,Denner Filiale
 Chur,46.8515396,9.5275536,Denner Filiale
 Wil SG,47.4653582,9.044413,Denner Filiale
 Frauenfeld,47.55739,8.89631,Denner Filiale
 Düdingen,46.846199,7.1918001,Denner Filiale
 Lausanne,46.5279274,6.6169996,Denner Filiale
 Winterthur,47.5022087,8.7484007,Denner Filiale
 Glattbrugg,47.4362373,8.5683584,Denner Filiale
 Unterentfelden,47.3619645,8.0456204,Denner Partner
 Basel,47.58054,7.59111,Denner Express
 Zürich,47.3749084,8.5232935,Denner Express
 Dornach,47.4800038,7.6156291,Denner Satellit
 Busswil b. Büren,47.09705,7.31782,Denner Satellit
