GMDNAME,KTNAME,LAT_CNTR,LONG_CNTR,HEIGHT_CNTR,BEVDICHTE_SQKM_ 2019,AUSLAENDER_ANTEIL_2019,ALTERSVERTEILUNG_ANTEIL_0_19_ 2019,ALTERSVERTEILUNG_ANTEIL_20_64_ 2019,ALTERSVERTEILUNG_ANTEIL_65PLUS_ 2019,PRIVATHAUSHALTE_2019,DURCHSCH_HAUSHALTSGROESSE_2019,GESAMTFLAECHE_ SQKM_2016,LANDWIRTSCHAFTSFLAECHE_ANTEIL_2004/09,WALD_GEHOELZE_ANTEIL_2004/09,UNPRODUKTIVE_FLAECHE_ANTEIL_2004/09,BESCHAEFTIGTE_TOTAL_2018,BESCHAEFTIGTE_ERSTERSEKTOR_2018,BESCHAEFTIGTE_ZWEITERRSEKTOR_2018,BESCHAEFTIGTE_DRITTERSEKTOR_2018,ARBEITSSTAETTEN_TOTAL_2018,ARBEITSSTAETTEN_ERSTERSEKTOR_2018,ARBEITSSTAETTEN_ZWEITERSEKTOR_2018,ARBEITSSTAETTEN_DRITTERSEKTOR_2018,NEUWOHNUNGEN_PRO_1000_2018,SOZAILHILFEQUOTE_2019,WAEHLERANTEIL_FDP_2019,WAEHLERANTEIL_CVP_2019,WAEHLERANTEIL_SP_2019,WAEHLERANTEIL_SVP_2019,WAEHLERANTEIL_EVP_CSP_2019,WAEHLERANTEIL_GLP_2019,WAEHLERANTEIL_BDP_2019,WAEHLERANTEIL_PDA_SOL_2019,WAEHLERANTEIL_GPS_2019,WAEHLERANTEIL_KLEINERECHTSPARTEIN_2019,AVG_INCOME_PRO_STEUERPFLPERSON,STEUERBARES_EINKOMMEN_GEMEINDE,ANZAHL_FAHRZEUGE,ANZAHL_HALTESTELLEN_OV,Anzahl Filialen Coop,Anzahl Filialen Migros,Anzahl Filialen Denner,Anzahl Filialen Spar
Walkringen,Bern,46.9464433429052,7.61989556958936,759.035879285075,102.7309704,6.617647059,19.57013575,58.82352941,21.60633484,776,2.229381443,17.21,54.94186047,37.3255814,0.23255814,972.0,179.0,206.0,587.0,182.0,66.0,32.0,84.0,1.122334456,2.21,2.710972401,0.458968239,10.20133407,54.17661098,2.649776636,6.492870693,9.258919283000001,0.208065602,8.371580687,1.627807356,54885.892116183,39.6825,1192.9999999158622,8,0,0,0,0
Wallbach,Aargau,47.5590823928109,7.90365527033357,335.879350556061,439.9113082,15.4233871,18.24596774,62.60080645,19.15322581,870,2.25862069,4.51,43.52678571,29.46428571,8.705357143,879.0,24.0,580.0,275.0,134.0,8.0,27.0,99.0,3.06122449,,7.936844336,16.99692699,12.98082018,38.35964819,0.667585038,8.678605489,1.430539366,,9.43096323,0.148352231,84780.681818182,74.607,1374.0000003750213,3,0,0,0,0
Wallisellen,Zürich,47.4148363828209,8.594116785674,501.297740327194,2623.208723,31.01359777,19.16750787,65.07927083,15.75322131,7663,2.167036409,6.42,21.08527132,21.08527132,1.085271318,20325.0,18.0,3060.0,17247.0,1414.0,5.0,167.0,1242.0,15.05740636,2.69,16.64736606,4.828303358,15.14349412,30.3476473,2.694207454,14.80002206,1.815045022,0.141012612,10.07570565,1.535383137,85596.504436677,636.6668,10424.999997472729,34,2,7,2,0
Walliswil bei Niederbipp,Bern,47.2359472618518,7.69086614587475,482.655949527398,147.6190476,8.294930876,15.66820277,59.44700461,24.88479263,108,1.990740741,1.47,53.7414966,20.40816327,9.523809524,68.0,11.0,18.0,39.0,,5.0,,5.0,4.524886878,,7.060063224,1.633298209,20.07376185,45.10010537,5.268703899,6.533192835,1.05374078,0.0,3.371970495,1.317175975,56599.130434783,6.5089,179.000000024702,0,0,0,0,0
Walliswil bei Wangen,Bern,47.2305675462211,7.68291787936762,509.660798539408,197.3941368,4.290429043,15.67656766,63.03630363,21.28712871,279,2.129032258,3.07,50.81433225,33.2247557,4.234527687,113.0,22.0,11.0,80.0,33.0,9.0,6.0,18.0,9.983361065,1.64,8.123129543,0.213766567,14.66438649,52.82171868,1.432235998,6.626763574,6.049593844,0.0,5.771697307,1.175716118,59207.368421053,16.8741,410.000000041,5,0,0,0,0
Walperswil,Bern,47.0597282948013,7.22802618360521,516.108127299696,148.2758621,9.011627907,20.54263566,61.24031008,18.21705426,430,2.374418605,6.96,76.42857143,7.571428571,6.571428571,323.0,168.0,51.0,104.0,70.0,24.0,8.0,38.0,0.992063492,0.58,5.396096441,0.929965557,8.67967853,45.13203215,3.249138921,5.258323766,19.4489093,0.068886338,8.67967853,1.021814007,64586.425339366,28.5472,717.0000001559474,4,0,0,0,0
Waltenschwil,Aargau,47.3346203376901,8.30392712737645,471.681463627145,652.8634361,15.51956815,21.22132254,62.4831309,16.29554656,1238,2.386106624,4.54,56.48351648,20.43956044,0.43956044,646.0,56.0,125.0,465.0,154.0,18.0,22.0,114.0,15.63585823,1.91,11.63934426,14.70938897,13.21907601,37.48137109,1.54247392,7.816691505,2.645305514,,7.704918033,0.335320417,72013.58974359,84.2559,2027.9999997647521,6,0,0,0,0
Walterswil (BE),Bern,47.1125009783766,7.77592952035201,735.642405133694,68.74205845,2.58780037,21.81146026,56.93160813,21.25693161,201,2.656716418,7.87,73.39218159,21.56368222,0.0,220.0,134.0,50.0,36.0,77.0,50.0,10.0,17.0,0.0,,1.618604651,0.037209302,8.0,61.82325581,3.460465116,1.469767442,7.274418605,0.055813954,5.246511628,5.320930233,51701.136363636,9.0994,493.00000022431504,7,0,0,0,0
Walterswil (SO),Solothurn,47.3240875798425,7.96113680291839,515.30871527642,161.6071429,10.77348066,17.95580111,61.87845304,20.16574586,309,2.333333333,4.48,53.00668151,35.85746102,0.445434298,171.0,34.0,10.0,127.0,,16.0,,29.0,0.0,3.18,13.49480969,16.78200692,13.92733564,31.31487889,3.114186851,7.006920415,2.85467128,,11.07266436,0.346020761,60336.474164134,19.8507,521.99999993475,6,0,0,0,0
Walzenhausen,Appenzell Ausserrhoden,47.4498323417734,9.60281483674543,765.636303216219,287.4285714,22.16699801,17.24652087,63.76739563,18.9860835,929,2.139935414,7.0,52.0625889,34.13940256,0.0,1169.0,51.0,362.0,756.0,192.0,21.0,44.0,127.0,2.507522568,1.52,50.69124424,,,44.70046083,,,,,,,66221.59214831,60.7252,1414.9999998372748,14,0,0,0,0
