xtf_id,Nummer,Bezeichnung,BetrieblicheBezeichnung,Laenge,Kantenhoehe,Gueltigkeit_BeginnGueltigkeit,Gueltigkeit_EndeGueltigkeit,Gueltigkeit_Stand,rHaltestelle,E,N,H
ch14uvag00241318,ch:1:sloid:76437:0:01,,1,,,20210401,,20220508,ch14uvag00052529,2589917,1213989,444.4
ch14uvag00240723,ch:1:sloid:289::2892,,2892,40.00,35.00,20210101,,20220508,ch14uvag00042092,2618145,1234775,464.7
ch14uvag00232944,ch:1:sloid:88999:0:1,,1,,,20190722,,20220508,ch14uvag00040694,2601624.598,1201483.291,552.9
ch14uvag00232927,ch:1:sloid:90129:0:4,D,4,,,20190722,,20220508,ch14uvag00040600,2601955.43,1201716.467,552.2
ch14uvag00227605,ch:1:sloid:89390:1:1,,1,,,20200703,,20220508,ch14uvag00040864,2617311.334,1268902.053,398.5
ch14uvag00226823,ch:1:sloid:88480:1:5,,14,,,20020829,,20220508,ch14uvag00061306,2613989.527,1174757.505,559.6
ch14uvag00230374,ch:1:sloid:89371:1:1,B,1,,,20200703,,20220508,ch14uvag00040171,2613074.548,1267681.855,255.6
ch14uvag00230422,ch:1:sloid:7410:1:2,,12,,,19980101,,20220508,ch14uvag00061328,2615552.328,1178303.681,712.8
ch14uvag00227333,ch:1:sloid:76882:1:1,,10,,,19930201,,20220508,ch14uvag00060898,2624821.116,1170225.916,617.3
ch14uvag00238146,ch:1:sloid:77164::5,,5,,,20210201,,20220508,ch14uvag00042097,2669166.3854,1217278.15445,419.5
ch14uvag00227337,ch:1:sloid:7179:1:2,,11,,,20041212,,20220508,ch14uvag00060897,2627312.794,1170764.221,611.1
ch14uvag00240872,ch:1:sloid:480::4802,,4802,,,20210101,,20220508,ch14uvag00057836,2618542,1228204,463.3
ch14uvag00232633,ch:1:sloid:91107::10,,10,,,20220207,,20220508,ch14uvag00065038,2686793,1245896,591.4
ch14uvag00237874,ch:1:sloid:31263:0:174277,,1,,,20210211,,20220508,ch14uvag00220367,2603592,1132675,2523.4
ch14uvag00228318,ch:1:sloid:92645:0:225828,,clys01,10.00,6.00,20200106,,20220508,ch14uvag00040354,2499101.435,1122945.22,407.6
ch14uvag00227058,ch:1:sloid:3351::50,,50,,,20220207,,20220508,ch14uvag00041294,2694845,1252062,516.6
ch14uvag00235419,ch:1:sloid:91279::82,,82,,,20210720,,20220508,ch14uvag00065223,2682440,1244262,426.8
ch14uvag00247297,ch:1:sloid:88644:0:2,,2,,,20220301,,20220508,ch14uvag00057639,2674943,1221481,428
ch14uvag00240995,ch:1:sloid:76404:0:02,,2,,,20210401,,20220508,ch14uvag00056102,2588533,1226386,861.5
